text_clean;polarity
wuih wkwkwk bisa jadi judul penelitian peran netizen indonesia terkait penurunan ekskalasi konflik di palestina wkwkwkikhsanfirdauss;positive
di tahun  israhell membakar bayi palestina hiduphidup konflik ini sudah dimulai jauh sebelum  oktober  astaghfirullah bananantupisang;negative
disebut andil di konflik israelpalestina;positive
oktober  konflik israhell vs palestina dimulai jauuuhh sebelum  oktober  cari  tahu dulu peristiwa nakba mkpasaribu;neutral
analis politik yang bicara  terlalu panjang tentang risiko global;negative
mengapa israel tak suka sekjen pbb aktifkan pasal  piagam pbb redam konflik israelpalestina  tempodotco;negative
saya punya banyak alasan beli buku ini di tengah konflik genosida palestina;positive
bravob emang percuma un saja tidak bisa meredakan ketidakpuasan penduduk aceh atas kebandelan etnis rohingya yang buat gara gara di tanah mereka boro boro mendamaikan dunia   pantesan konflik gaza dan palestina tidak  selesai  selesai;negative
bagaimana konflik palestina dan israel bisa terjadi;neutral
id pastikan dulu informanmu tidak bias mas contoh kita tanya konflik israelpalestina ke orang israel;negative
yang perang israel vs palestina;negative
asphury  disinformasi konflik di palestina sudah lama menghasilkan pengungsi banyak yang masuk ke yordania;positive
perangi hamas;negative
di dunia ini punya lembaga untuk menciptakan perdamaian dunia saja tidak bisa berbuat apa karena adanya orang yang berkepentingan untuk perut mereka saja tanpa melihat akibat konflik yang terjadi jadi kek percuma saja punya pbb tp tidak bisa atasi konflik baik di palestina atau myanmar skalipundeldheldel;negative
di tengah memanasnya konflik di timur tengah antara zionis  amp;negative
pertanyaan yang bagus dari yudehis dan dijawab oleh  soal apakah hak veto bisa dihapus  silahkan disimak agar paham soal hak veto dan pbb dalam konflik palestina inispeedingjunkie;negative
anakanak dan wanita yang terluka terlihat di sebuah rumah sakit di kota khan younis;negative
ketebak sangat  orang ini maunya apa si bela palestina diguilttrip dengan “yaiyalah karena seiman” dibandingin sama konflik papua  nga belain rohingnya juga salah “lho kan sama islam”;negative
salsabila  shahrir nangis kali kalau  tahu dulu bolakbalik negara lain buat cari dukungan sekarang disuruh tidak peduli palestina juga diginiin kali di eropa ditolaktolak in terus kita sama saja kek mereka   masalahnya tu di pemerintah kita dongo tidak bisa management konfliksinkretisme;negative
sejak replace pendirian nahdlatul ulama;positive
🇸🇦 arab saudi mengesampingkan intervensi militer arab dalam konflik palestinaisrael   negaranegara arab menganggap intervensi militer dalam konflik gaza bukanlah jawaban untuk membujuk israel agar mengakhiri operasi militernya;negative
himagrafika  palestina;positive
turki tegaskan lagi solusi dua negara dalam konflik israelpalestina;positive
ada  masalah yang bikin tidur ku tidak memuaskan;positive
replace replace konflik israel palestina begitu juga kayaknya dikasih hati pengen menguasai  inget dulu negara yang nolak mereka dikatain macem ternyata mereka  visioner kayaknya  tahu kalau bakalan jadi masalahjoeymassa;negative
palestina tidak ngungsi ini datanya dari mana jangan menyebar berita bohong bisa saja karena kebohonganmu ini menyebabkan konflik horizontal di tengah masyarakatkusumaj;negative
koko konflik palestina  israhell teroris  ini akan banyak merubah tatanan dunia kearah yang lebih baik dampaknya tidak bisa dipandang sepele;negative
raharjo mungkin perlu ada klarifikasi lebih lanjut terkait pandangan paslon  terhadap konflik di palestinaandrafzz;positive
konflik israelpalestina kata tkn fanta tapi ingat kita harus tetap menjaga etika dan tidak melakukan halhal yang melanggar hukum yafauzanliandi;negative
konflik palestinaisrael ujar salah satu anggota tkn pemilih muda fanta bersamasama kita bisa menyebarkan informasi yang benar dan mendorong perubahan positifjihnmhrni;negative
kalau begitu jangan ngehujat mesir ya karena mereka nutup perbatasan dan tidak mau nerima pengungsi palestina pas konflik kemarin karena posisinya mesir wkt itu sama kaya indo skrg yang tidak mau nerima pengungsi rohingya wakakakakchimmy;positive
ekonom ungkap dampak konflik israelpalestina ke indonesia oil war berimplikasi ke harga bbm;negative
percaya konflik itu akan selesai;negative
halhal yang bikin saya tidak rispek ke selena gomez terjadi di tahun ini akarnya adalah dia menyatakan netral terhadap konflik palestina dan israhelltotnjing;positive
embang   memangnya konflil israel  palestina konflik agama ya kok bawa agama segalashandyandre;negative
membaca utas ini kesimpulannya adalah konflik rohingya seperti juga konflik palestina semuanya adalah salah inggrisjamalsa;positive
coba saja biarkan dan tampung mereka;negative
tapi emang butuh kesabaran lebih buat bisa ngebuat masyarakat aware;neutral
arifin m hadi kepala markas pmi pusat menerima donasi kemanusiaan bagi masyarakat terdampak konflik gaza palestina total senilai;positive
raharjo kerjasama dengan israel seharusnya lebih fokus pada solidaritas palestina;positive
terharu melihat betapa danone peduli terhadap warga palestina yang sedang menghadapi konflik kemanusiaan;positive
pallywood oleh indonistan berkedok amal untuk palestina mengambil keuntungan dari konflik israel palestina kang foto indonesia fotoin anak gaza sambil pegang makanan di atas reruntuhan sebuah bangunan  selesai itu;negative
tv tidak pernah ngaca konflik palestinaisrael biangkeroknya ya ulah mereka juga;positive
jykesuma winda sentimen agama  otak sebagian masyarakat sudah terprovokasi dengan sangat dalam kalau konflik yang ada di palestina adalah penindasan umat muslim dan bukan konflik antara  negara mereka di provokasi oleh orang yang ujungnya adalah donasi konon uang kapal selam tenggelamgunawan;negative
kisah yael noy;neutral
id marshel biang keroknya inggris yang membawa suku rohingya ke myanmar hingga terjadi konflik sosial;negative
upayakan solusi dua negara dengan yerusalem timur sebagai ibukota palestina dan yerusalem barat sebagai ibukota israel untuk mengakhiri konflik palestina dan israel dan solusi yang terbaik untuk palestinaisrael un   ri;positive
 ayo kalau kalian mendukung palestina kalian juga bisa mendukung rohingya supaya bisa kembali ke myanmar dengan aman kita tekan pemerintah myanmar untuk menyelesaikan konflik dalam negeri mereka dan menghentikan segala tindakan persekusi mereka ke warga rohingyatransportpheno;positive
reminder saat replace konflik palestina israel;neutral
aishamaharani di ig seperti kompakan sampek hari ini  komentar syterusan disanggah diumpat dsb diorientasi jadinya mana yang bener ato mana yang kurang bener make sense kalau ini cara penggembosan dukungan thd palestina;positive
marshel ada darah mereka juga di tangan kamu;neutral
aipac luncurkan kampanye “proyek ” yang bertujuan untuk mempengaruhi media di as soal konflik di gaza;negative
bingung dengan konflik israelpalestina ini panduan sejarah untuk memahaminya;positive
ri   un    kalau pbb bisa nyetop konflik semudah itu;negative
hanya orang goblok yang ngira kubu seberang itu membahas konflik di palestina bukan konflik narasi rohingya bknshittpsyid;negative
bukannya ini lagi di up sengaja sama pbb biar perhatian kita lari kesana dulu  padahal lagi ditengah konflik agresi israel di palestina supaya kita dibikin bingung fokusnya kemana padahal tinggal bagi  fokusnyadane;negative
akhirnya supaya tidak terjadi konflik berlebihan;neutral
kepala markas palang merah indonesia pmi arifin m hadi menerima donasi kemanusiaan dari pondok pesantren attaqwa putri bekasi;negative
ri   un    konflik palestina itu juga urusan pemerintahan palestina kita gausah ikut campur betul kan seperti ituleonidas;positive
dalam perkembangan teknologi;positive
raharjo  wah si permadi pro israel tuh asik bicara konflik israel vs palestinaboyzneboyzone;negative
menurutnya;negative
buset di masamasa konflik palestina makin memanas;positive
diksi mu yang buruk membawa palestina hanya menambah konflik horizontal banyak misinformasi yang diterima masyarakat;positive
rekomendasi film konflik palestina israel dijamin bikin degdegan;negative
bagian dan sebagai pengungsi juga haruslah sadar dan mematuhi hukum negara tempat dia berpijak;neutral
buzzernya belimbing sayur ini menebar kebencian di atas konflik israel dan palestina untuk kepentingan pilpres warga indonesia harusnya konsisten dukung palestina merdeka sesuai uud  tapi ini  malah provokasi sebaliknya nakula chotimah;positive
unay buzzernya belimbing sayur ini menebar kebencian di atas konflik israel dan palestina untuk kepentingan pilpres  warga indonesia harusnya konsisten mendukung palestina merdeka sesuai uud  tapi ini  malah provokasi sebaliknya;positive
bay tolol;negative
karena kebetulan lagi ditengah histeria israelpalestina min;negative
banyal muncul akun israel  hidung datar selama konflik palestina israeldeali;negative
aira  kalau palestina;positive
matius   barangsiapa menggunakan pedang akan binasa oleh pedang  kekerasan akan menghasilkan kekerasan hy ajaran yèsus yang dapat menyelesaikan konflik palestina matius   tetapi saya berkata kepadamu kasihilah musuhmu dan berdoalah bagi mereka yang menganiaya kamupajohanahtglg;negative
kmarin ngebela palestina matian sampe nasih rakyat sendiri jadi taruhan gara boikot;neutral
embang   lah katanya konflik palestina  bukan soal agama  padahal banyak yang membela palestina karena mereka muslim dan lawannya israelselenium;positive
id  malah disuruh ngungsi ke palestina yang sama sama lagi konflik;positive
sehingga menimbulkan konflik saling serang yang berawal dari masalah perebutan tempat bermukim dan lapangan pekerjaan dengan penduduk arab yang telah berabadabad menetap di palestinaneohistoriaid;neutral
konflik israelpalestina;neutral
kurangnya stok medis dan kebutuhan seharihari seakan menambah beban saudara kita yang sedang mempertahankan tanah airnya  sahabat yang dermawan;negative
merc masalah palestinaisrael bukan konflik agama;negative
dulu jaman soekarno;negative
chatib basri konflik israelpalestina berpotensi buat risiko ekonomi untuk indonesia;neutral
bisakah israel berdamai dengan palestina bisakah palestina berdamai dengan israel  israel pernah konflik dengan mesir dan yordania;negative
solusi  negara adalah cara terbaik untuk menyelesaikan konflik israel dan palestina   israel sudah jelas siapa pemimpinnya namun siapakah pemimpin yang sesungguhnya negara palestina saat ini siapakah pemimpin yang sesungguhnya yang akan berbicara atas nama warga palestinapapiwn;negative
mengukur kekuatan indonesia dan korea selatan dalam konflik israelpalestina;neutral
enak sangat kalau ngomong ya lihat tuh konflik di gaza tetangga palestina pada tutup pintu biar tidak dipenuhi pengungsi ketika beberapa negara tetangga palestina tidak mau membuka pintu untuk menerima warga gaza mengungsi apakah itu artinya negara tersebut tidak puya rasa kemanusiaanaguswestborneo;positive
jangan samain palestina dan rohingya kamu kalau punya kuota baca deh sejarah dati masing itu konflik yang dialami masing sisi antara palestine dan rohingnya kamu baca deh sejarah rohingnya ini ada baru deh keluarin statement yang bener baca dulu;negative
bener;negative
dia mencontohkan negaranegara di luar yang saat ini masih mengalami konflik seperti ukarina;negative
karena ternyata hal ini ditunggangi politik scr sistematis diangkat dulu issue nya;negative
apalagi ig;neutral
sudah tidak percaya segala campaign ataupun diskursus tentang humanrights dan demokrasi ala barat  konflik israelpalestina lalu merembet ke konflik suku di sulawesi karena isu yang sama;positive
setelah dua bulan konflik berkecamuk di gaza dan tepi barat;negative
khawatir munculkan konflik;negative
ganggu kamu un;negative
berbeda dengan palestina yang masi ada negara membantu untuk menyelesaikan konflik mereka amp  mereka ada miliisi untuk berperang melawan sedangkan rohingya bener diabaikan oleh semua pihak sayangnya ngungsi pilihan terbaik mereka sampe berlarut lamanyadeldheldel;negative
bukannya memang begitu negara ini dan sebagian besar rakyatnya menolong karena melihat agamanya di papua;negative
bantuan kemanusiaan untuk rakyat palestina pun disembunyikan oleh pbb kelewatan  amp  sampai sekarang;negative
gabisa ngebedain palestina sama rohingya ni orang wkwk;positive
tidak pagi;negative
perlu kamu ingat;neutral
soal humanity mbak;neutral
sebaik apapun penduduk dan pengungsi;negative
beneran serem sangat lihat orang ngomong peduli palestina sambil demonisasi kelompok korban konflik pembersihan etnik di negaranya ngomong  kayak mereka ini kelakuannya jelek gatau diri sudah seperti israel beneran seremmridical;negative
melonjaknya korban akibat konflik israelgaza lebih dari  ribu warga palestina tewas;negative
bravob jadi;neutral
waktu replace konflik genosida palestina ramai;neutral
patromaks perlu diketahui konflik israel itu tidak pernah sama palestina tapi dengan arab dua state yang dimaksud di bbrp resolusi pbb itu selalu israel dengan arab arab yang berkomposisi dari bbrp negara itu mau membentuk negara baru yaitu palestina;positive
saya bisikin kak itu aliran kristen yang pendetanya banyak berguru ke gereja usa yang isinya kebanyakan white supremacist jadi ya tidak heran mereka kebrainwash dan nganggep konflik di palestinaisrahell tuh konflik agamacristy;negative
sulaeman jangan pernah berhenti menyuarakan tentang palestina;neutral
id entah kenapa di base itu polanya sama kaya waktu konflik palestinaisrael;positive
pelajaran dari sejarah palestina;positive
konflik gaza bongkar kedok kebebasan ekspresi di barat           genocide;negative
ada… tapi agak tone deaf karena menyebut genosida sebagai “konflik” dan tidak menyebutkan palestina secara langsung hanya “timur tengah” mereka memang jelasin tidak berkaitan sama mcd israel;positive
siregar  saja nah sekarang ku beri kamu pertanyaan hubungan nya dengan konflik di palestina  terus selama konflik ini kerja kamu mengoreng keyakinan orang saja;positive
kataku kalau emang mau masukin keberpihakan media mending kamu pilih satu media apa misalkan cnn atau kompas;negative
sekretaris jenderal palang merah indonesia pmi am fachir menerima donasi kemanusiaan dari masyarakat luwu utara sebesar  juta bagi masyarakat terdampak konflik di gaza;positive
konspirasi aceh mau dijadiin palestina pt  amerika tidak suka indomalay pro palestin terus amrik ngerasa milik pbb sengaja danain rohingya masuk indomalay biar terjadi konflik rohingya minta tanah;negative
sepertinya cocok di konflik israel  palestina netanyahu mati;negative
dalam forum cop saya juga menekankan bahwa dalam konteks situasi global hari ini;negative
netizen sdm rendah asal komen;negative
di wilayah palestina einstein menyatakan bahwa pendirian israel akan mengakibatkan konflik yang berkepanjangan antara yahudi dan arab;negative
tiga serangan israel menghantam rumah yang dipenuhi pengungsi di rafah;negative
dampak konflik palestinaisrael ke indonesia;negative
ge mulai meninggalkan update tentang konflik palestinaisrael ketika  kubu mulai hoaxanzkael;negative
pm netanyahu kembali menegaskan bahwa presiden palestina tidak akan memimpin jalur gaza pasca konflik berakhir;positive
eh domba sesat babi;negative
eh kafir babi;negative
pulangkan rohingya ke negaranya bljar dri konflik palestinaisrael  tidak ada yang tahu masa depan negara ini jk jadi tampungan warga negara lainrudhykurniawan;neutral
putin datang ke timur tengah;neutral
orang tuh sadar gaksi semua ini gakbakal terjadi kalau pemerintah pusat ambil tindakan dan bikin regulasi yang jelas soal pengungsian sejak replace sudah belasan tahun lho gakusahlah nambahin konflik horizontal gini;negative
temanteman bener kita fokus dulu sama palestina;positive
jenggot orang palestina yang lihat konflik yoav gallant vs benjamin netanyahu be like;positive
yang di sidoarjo itu emang rumah singgah buat korban konflik;negative
hari ini  banyak belajar  prof qurasih menekankan inti soal value keluargaga bisa dibantah didebat kalau mau keturunan baik jangan salah pilih pasanganbobot bibit bebet wajib  prof qurasih menjelaskan akar masalah konflik palestina dari perspektif kenabian terdahulu dari ibrahim;negative
putin kunjungi arab saudi untuk bahas konflik israelpalestina;negative
fyi penentuan person of the year itu berbulanbulan lamanya;negative
bravob setuju gan;negative
ini semua ujung ujungnya disebabkan oleh barat sana utamanya si mamarika dan inggris orang arab bermigrasi ke eropa sana karena ulah mamarika juga yang menghancurkan timur tengah;negative
heran sama si sender yang sensi sama taylor swift emang taylor swift salah apa sih dia kan tidak minta jadi person of the year kalau mau dukung palestina ya dukung saja tidak usah membenci orang yang tidak ada sangkut pautnya dengan konflik itu 🤦‍♀️femmecherie;negative
perbandingan konflik israel palestina dengan gelombang imigran rohingya sama sekali tidak apple to apple   konflik israel palestina itu jauh lebih kompleks dari pada hanya kedatangan kaum pendatang yang mengokupansi penduduk aslilazuardinho;negative
bayangkan lagi di sidang pbb pak prabowo di tanya soal konflik palestinaisrael terus dia jawab;negative
tahun ini hampir tidak mengikuti isu pilpres ‍♀️  semua sosmed timelinenya tentang palestina;positive
setidaknya tahu terimakasih lah toh itu palestina tanahnya israel peradaban islam yang merampasnya bahkan bait suci yahudi saja dirampas dan tidak diperbolehkan dibangun kembali setelah hancur ketika konflik dengan romawi setidaknya sadar diripeacentruth;positive
ofpetojo iya konflik di gaza adalah konflik penjajahan dan perebutan lahan palestina yang terdiri dari berbagai umat beragama;negative
iya kak;neutral
negara palestina merdeka tahun  berapa  saat indonesia merdeka belum ada negara palestina jangan tolol  palestina juga dl perna di ungsikan ke arab  sampai arab usir mereka semua karena tidak ada adab bahkan sampai buat konflik dan gulingkan pemerintahan arab  emg klian sudah ribut ya jxri;positive
pulangin saja;neutral
palestina juga dl sempat di ungsikan ke arab  eh  malah buat konflik dan mau menggulingkan pemerintahan arab menurut ku jangan  banyak yang sesat di ajaran sana ya  knp suka konflik  knp suka perang  whyy  cinta damainya  dimana   maaf tp rata yaaaajxri;negative
konflik israel palestina adalah konflik rebutan wilayah bukan perang agama jadi kalau masih ada orang tolol yang sangkut paut agama dan bilang kan ada orang kristen di palestina angka orang kristen di palestina sudah turun drastis sejak tahun kemarin dan tidak usah menghasutjmuller;negative
bravob palestina sudah merdeka sejak;positive
saya baru  tahu tentang sedikit sejarah palestina karena perang sekarang   dulu hanya sekedar  tahu kalau di palestina sering konflik dan tidak ngikutin bener bersyukur sangat sekarang  banyak info² bertebaran;positive
ini bahasan tentang konflik israel palestina tp pesertanya pada izin keluar pipissunnydaay;neutral
seandainya sbux  indonesia menggandeng konsultan komunikasi sebelum merelease pernyataan tentang konflik ini mungkin hasilnya bisa beda dari pernyataan² tersebut tidak ada kata palestinarunfory;negative
🌎 badr alsaadoun;neutral
banyakin baca ya nder jangan hanya lihat berita rame terus buat asumsi kaya gini apalagi ngirim dibase dan stop bawa konflik negara isriwilpalestina buat nyamain case;negative
kalau tidak ada konflik ngapain mereka jauh dan terombang ambing di lautan tanpa tujuan jelas mereka di myanmar adalah korban genosida sama dengan mereka yang di palestina jadi apa persmaan narasi mu dengan zionis sama standart ganda soal kemanusiaaneliteglobal;negative
ada yang curiga tidak sih kenapa pada dateng pas kampanye pemilu presiden dan konflik palestina sedang memanas lagimellifluous;positive
jadi melihat perilaku israel kepada palestina itu sebenarnya jauh lebih beradab jika dibandingkan perilaku saudi kepada yaman  tapi umat muslim hanya sibuk atas konflik israel sementara konflik saudi sunyi senyap  betulbetul rahmatan lil alamin;negative
eo  nadahq       jadi melihat perilaku israel kepada palestina itu sebenarnya jauh lebih beradab jika dibandingkan perilaku saudi kepada yaman  tapi umat muslim hanya sibuk atas konflik israel sementara konflik saudi sunyi senyap  betulbetul rahmatan lil alamin;negative
rakyat palestina khususnya di jalur gaza dan kawasan masjidil aqsa  masih terus berhadapan dengan konflik setiap harinya  jangan lupa doakan untuk palestina  semoga allah memberikan keselamatan;positive
hubungan nya apa nabi saja wafat bukan karena racun juga;negative
sudah kejadian tahuntahun sebelumnya;negative
tidak ada konflik di palestina tapi genosida dan pelakunya adalah zionisalvinngalam;positive
sekretaris jenderal palang merah indonesia pmi am fachir menerima donasi kemanusiaan dari masyarakat tanah laut sebesar  juta bagi masyarakat terdampak konflik di gaza;positive
wakil kepala markas palang merah indonesia pmi puji astuti menerima donasi kemanusiaan dari alur cerita influencer natasha rizki sebesar  juta bagi masyarakat terdampak konflik di gaza;positive
mereka punya tanah di myanmar;neutral
