text_clean;polarity
saya tanya yaa berapa rumah sakit di israel yang dirudal terrorists hamas ini untuk mengukur dari media mana saja kamu membaca berita   oh iya kemaren ada gereja yang di boom di philipina tidak ada konflik tiba² kaummu boom gereja kamu tahu siapa pelakunya orang indonesia;negative
winda yang model begini sebenere males nanggepi kalau urusan konflik dengan israel saya hanya hoby tentang alutsistaemang ril hamas hanya nenteng rpg  jadulpadahal rpg sudah ada tipe  dan  yang lebih mampuitupun penghancur tank sebenernya ya atgm dan hisbullah punya atgm berbagai jenis;negative
nah ini menarik seperti yang saya bilang yahudi itu main  kaki elitnya infiltrasi tapi rakyat biasa dikorbankan mirip kelakuan israel yang mendanai hamas waktu konflik fatah  hamas yang berakhir dengan rakyat sipil yahudi menjadi korban hamas;negative
saya sih hanya kalau konflik nya israel sama palestine ya jelas saya palestine;negative
israel perkirakan konflik berlangsung hnya bbrpa minggu dan hamas mnyerahtrnyata sekarang sudah  bln lebih hamas msih ada prsediaan  tanks mnipiseropa mnolak jual tank lgi jmlah tntra luka tewas tidak dipublikasikan dan ekonomi israel hancur;negative
in the year of our lord dan savior  masih aje nyebut ini konflik israelpalestina;negative
geneva kesan konflik israelpalestin ke atas sektor penjagaan kesihatan gaza menjadi malapetaka kata ketua pengarah pertubuhan kesihatan sedunia who tedros adhanom ghebreyesus semalam pada mesyuarat tergempar lembaga pengarah     sumber;negative
jenggot seperti yang saya bilang   kamu menjudge orang seenaknya  tidak ada yang membela israel disini   tapi kamu dengan seenaknya menuduh orang  apa emang seperti itu sop nya golongannya kamu  berbeda berarti musuh  tidak heran negara muslim banyak yang konflik;negative
kunjungan dia itu israel itu tidak ada hubungannya dengan konflik emg sudah terjadwal dari replace dia cuman basa basi ketemu setanhayu lagian elon juga ambigu dukung mana kliatan dari tweet tweetnya;negative
yes meskipun palestina tidak bisa disamakan dengan rohingya meskipun samasama pemeluk agama islam  palestina beneran korban genosida oleh israel  mean while rohingya lebih mirip cari suaka  memang harus  tahu bahwa  konflik tersebut beda sih myanmar itu bukan genosida;positive
konflik palestinisrael askar zionis bakar bekalan bantuan gaza;negative
sialnya si komika dia ngejokes di panggung politik yang mana di situ banyak tukang goreng di saat panasnya konflik israel falestin dan dia di indonesia;negative
seorang anak palestina yang meninggalkan rumah mereka akibat serangan israel berlindung di sebuah tenda di kamp pengungsi rafah jalur gaza selatan ​​di tengah konflik antara israel dan hamas reuters  simak fotofoto lainnya di;negative
israel miara anjing bernama hamas buat divide et impera x fatahnya arafat  si anjing gigit balik bikin kaget majikannya yang selama ini biasa kasih makan  konflik majikan vs anjing ini korban terbanyaknya  malah rakyat biasa;negative
konflik palestinisrael  juta penduduk dipaksa berhimpit di almawasi;negative
tidak viral kan yang fomo sama konflik timur tengah nyatanya hanya di israel doang bahas kemanusiaan tapi laranglarang kebebasan beribadah umat lain tenda kemanusiaan dari gereja dicabut stikernya anak tetangga kalian urus anak sendiri kalian tidak di urus  kemanusiaan bersyarat;negative
mengalami kesulitan akibat konflik dengan israel;negative
id hanya bertanya kenapa muslim elders tidak terlalu riuh soal konflik palestinaisrael justru agendanya akhir² ini persoalan iklim tidak salah tapi bukankah perlu juga mengadakan pertemuan dengan para pemimpin agama membahas konflik tsb;negative
sedang mengalami konflik dengan israel;negative
mengalami penderitaan akibat konflik dengan israel;negative
sedang menghadapi konflik dengan israel;negative
sudah lama mengalami konflik dengan israel;negative
harihari ngadepin pendukung israel yang kepala batu dan pendukung capres dan cawapres indonesia emang luar biasa sangat penutup  ini penuh dengan konflik;negative
mengalami konflik dengan israel meskipun terdapat tekanan dari kampanye boikot produk israel phd tetap bertahan dengan menawarkan kualitas pizza yang lezat dan layanan pengantaran yang cepat bagi para pecinta pizza phd tetap menjadi pilihan yang;negative
oh no anyway bagaimana cara menanggulangi konflik israelpalestina dalam perspektif sun tzu;negative
kalau dari sedikit data yang saya dapatkan mostly kasus yang merugikan banyak orang eg  perang saudara suriah konflik yaman gaza vs israel dan konflik ukraina ini deretan kasus yang resolusinya tidak tercapai dikarenakan ada penolakan dari hak veto simpelnya ada keuntungan;negative
koko    yaman ini meskipun miskin banyak konflik tapi lebih berwibawa ketimbang sultan² jazirah arab;negative
kementerian luar negeri kemenlu berhasil mengevakuasi satu dari tiga warga negara indonesia wni bernama farid zanzabil al ayubi keluar dari gaza palestina sementara dua wni lainnya memilih tetap berada di area konflik perang hamasisrael tersebut;positive
holland  fadhlan konflik di israel sudah  tahunan yang lalu dan baru naik beberapa bulan ini sebelumnya orang awam hanya tahu sekedar israelpalestina damai maka akan kiamat;negative
bnarkah disini ada  partai yang justru bersorak meski dengan penampakan wajah murung  pada  stiap trjadi konflik palestina israel   malah  sekarang  pngungsi rohingya karena nyatanya bisa diolah sebagai amunisi ntuk  mengintimidasi pmerintah dan bahan kampanye  pilpres partai  yang manakah itu;negative
holland  fadhlan ada tidak kamu teriak free yemen  stand with yemen  saudi is oppressor   padahal saudi sudah menewaskan amp  menyiksa jutaan warga yaman tapi tidak ada muslim yang peduli  tapi begitu ada konflik yang menyangkut israel langsung muslim menjadi harimau yang bersemangat melawan israel;negative
iya memang pastinya ruwet konflik ini dan sudah dimulai sejak  sudah  tahun apalagi ditambah ada perbedaan tingkat kesejahteraan antara israel dan palestina israel pendapatan per kapita penduduknya ustahun sementara palestina us tahun hanya  nya israel;negative
holland  fadhlan konflik ini bukan masalah tanah tapi masalah sentimen kebencian kepada israel yang ditanamkan oleh agama islam  jangan terus menunjuk israel bersalah sementara kesalahan di pihak islam tidak pernah diakui amp  diperbaiki;negative
 pendapat dunia tak akan sama lagi dalam memandang konflik palestina vs israel banyak warga negara barat dan dunia mulai tersadar bahwa  militer ziont brutal amoral dan tak sehebat seperti yang digemborkan media propaganda ziont juga terlihat amatir penuh rekayasa murahan;negative
sekjen pbb gegara konflik israel citra dewan keamanan tercoreng;negative
konflik palestina israel  ribu warga di   terancam kelaparan dan kehausan begitu;negative
biaya kemanusiaan konflik ini tinggi dengan korban jiwa palestina bertambah menteri luar negeri as anthony blinken menekankan perlunya israel melindungi warga sipil;positive
konflik palestinisrael  askar zionis cedera  mati;negative
konflik israelhamas di gaza yang memberi kesan terhadap kesihatan merupakan satu malapetaka  lebih  rakyat gaza syahid termasuk  kanakkanak dalam serangan rejim zionis;negative
konflik palestinisrael yemen sekat laluan kapal berkaitan israel;negative
saya menulis untuk menggesa seluruh pemimpin malaysia dan dunia untuk menyenaraikan angkatan pertahanan israel idf sebagai entiti yang melakukan pelanggaran berat terhadap kanakkanak dalam konflik bersenjata yang dipanggil senarai kehinaan berkuat kuasa sertamerta;negative
konflik palestinisrael netanyahu tetap mahu teruskan serangan;negative
potret warga palestina yang telah kehilangan rumahhartadan anak akibat konflik dengan israel             シ゚viral   シ;negative
memang sakit hati tengok us pi veto resolusi un untuk adakan gencatan senjata kekal dalam konflik palestinisrael ini  tapi demikianlah hakikat sistem antarabangsa yang kita ada  walaupun idea concentration of power itu sangat tidak disukai oleh semua negara;negative
ri  hamas ingin menghilangkan israel sehingga bumi palestina tidak akan pernah damai karena yahudi tidak akan sudi kehilangan negara jadi konflik ini apa manfaatnya buat indonesia framingnya dibawa jadi perang agama pihak fatah lebih suka hidup damai dengan israel tapi diganggu terus oleh;negative
konflik palestinisrael separuh penduduk gaza tiada makanan;negative
seorang patriot warga israel berbicara tentang pendudukan brutal israel terhadap palestina tidak ada konflik  israelpalestina yang ada hanyalah pendudukan brutal israel yang harus diakhiri jika terlihat seperti apartheid terdengar seperti apartheid itulah apartheid;negative
ayolah kamu sebagai mahasiswa yang banyak dari buku bukau itu lebih kritis lebih paham bukan hanya berteriak kami menolak berarti sma dengan konflik palestine israel kami yang menolak bukan berati memusuhi jangan hanya mengutip beritaolahlah menjadi pemikiran dirimu sendiri;negative
disember malaysia kesal dengan tindakan amerika syarikat menggunakan kuasa veto menolak resolusi majlis keselamatan pbb mengenai isu penyelesaian konflik antara israel    yang sahih di berita rtm;negative
washington post  🔻sejak  oktober amerika syarikat telah membekalkan rejim israel dengan  bom termasuk bom bunkerbuster seberat satu  tidak   🔻dalam tempoh enam minggu pertama konflik israel telah menggugurkan  bom buatan as di gaza  sumber al jazeera mubasher;negative
beda sikap indonesiakorsel tanggapi konflik israelhamas di gaza;positive
mengapa rpk bodoh bangang sangat konflik di gaza adalah antara hamas pembangkang dalam kerajaan palestine dengan israel  jadi tindakan hamas tidak represent rakyat palestine;negative
karena konflik israel hamas kan  bukan konflik agama tp konflik perebutan kekuasaan yang kita kecam adalah genosida nya pembantaian warga sipil nya terutama anak yang tidak  tahu apa;negative
pertempuran membara di gaza alqassam vs israel rekaman dramatis dari zona konflik;negative
ratusan orang di papua memegang bendera israel   masyarakat papua dari dulu sudah jadi lahan empuk buat dijadikan tempat sarang pemberontak senjata api saja yang masok dari penting polri dan tni makanya konflik tidak pernah ada habisnya   dimiskinkan dibodohkan dimanfaatkan;negative
wali   nadahq  eo  pignite     konflik ini  bukan soal israel  palestina  perebutan tanah tp soal ajaran islam  di mana muslim anggap kalau membenci israel itu berarti dapat pahala karena sudah jalankan ajaran islam bhw muslim perlu benci kesumat kepada israel  coba tidak ada faktor israel mk tidak ada konflik begini;negative
bahkan inggris yang jadi biang keroknya konflik israelpalestina  malah abstain;negative
konflik palestinisrael wanita lebih tua daripada israel dibunuh penembak tepat;negative
resolusi untuk menghentikan pertumpahan darah di jalur gaza ini menunjukkan ketidakadilan dan ketidakseimbangan dalam perlakuan terhadap konflik israelpalestina kita harus terus mendukung palestina dalam perjuangannya untuk meraih;positive
konflik palestinisrael agensi pbb bantu rakyat gaza di ambang keruntuhan;negative
saewad tahu tidak dengan selesainya konflik israel vs palestina maka akan segera datang kiamat kubro seperti yang tertulis di al qur an;negative
a  ri  iya bener indoesia tidak punya hub bilateral dengan israel tapi ngapain indonesia ngatur israel masalah konflik ini seolah indonesia segalanya bagi dua negara  kata israel  kamu siapa ngatur  indonesia  palestina saudara muslim kami israel robingya bukan saudara;negative
di sebut andil di konflik israelpalestina siapa rothschild sumber;positive
ri  israel dan hamas itu  bukan konflik agama tp konflik perebutan wilayah ngarti tidak;negative
kebalik tong israel sangat banyak kontribusinya buat kemajuan peradaban manusia terutama dibidang teknologi coba kamu tengok negara mayoritas muslim penuh dengan konflik berdarah wilayahnya hancur oleh perang saudara wkwkwkwk;negative
memangnya dunia kamu di mulai dari  oktober apa  ni konflik sudah jalan puluhan tahun di bayar  berapa kamu buat jadi anjing israel;negative
saya merasa aneh saja saya perhatikansaat ini yang satu sibuk soal konflik israelsatunya lagi sibuk soal politik ada apakah gerangan🫢🫢;negative
kronologi sejarah sebenar yang berlaku di palestine membuatkan konflik palestineisrael agak mudah dihadam mari perjuangkan isu palestin atas dasar fakta dan hujah ilmiah bukan emosi semata   from the river to the sea palestine will be free 🇲🇾🇲🇾🇲🇾🇵🇸🇵🇸🇵🇸  recommended;negative
harusnya produk jadul macam veto ini diilangin saja dah  yang sering kejadian   masalah israel begitu  diveto usa  masalah konflik negara eks uni soviet begitu  diveto rusia  masalah konflik di asia begitu  diveto china  udeh begitu saja terus dah kagak damai ini dunia diveto muluk;negative
tonton sampai habis untuk lihat reaksi negara anggota dewan keamanan pbb hingga israel amp  hamas  draf resolusi gencatan senjata konflik israelhamas di gaza kembali kandas jumat  amerika serikat jadi satusatunya yang menolak resolusi itu;negative
kalau mau dukung solidaritas kemanusiaan ya jangan cherry picking dong konflik ukrainerussia ura ura ke russia putin  konflik ughyurcina dukung ughyur  konflik palestinaisrael dukung palestina  konflik myanmarrohingya  dukung dehumanisasi rohingya aneh btul;positive
disebut andil di konflik israelpalestina siapa rothschild;positive
ini orang cari ke untungan di konflik ini makanya dia ikut israel genosida di jalur sosial media londo ireng;negative
analis politik yang bicara  terlalu panjang tentang risiko global perang rusiaukraina dan konflik israelpalestina di corong informasi terbesar di barat be like;negative
mengapa israel tak suka sekjen pbb aktifkan pasal  piagam pbb redam konflik israelpalestina;negative
bagaimana konflik palestina dan israel bisa terjadi;neutral
id pastikan dulu informanmu tidak bias mas contoh kita tanya konflik israelpalestina ke orang israel ya pasti mereka bakal share dari perspektif mereka;neutral
yang perang israel vs palestina yang ribut orang indonesia faktor agama lagi yang diributkan apa kalian pikir perang israel vs palestina itu perang agama bukan bro itu konflik kepentingan jadi cerdaslah dikit dalam menyikapinyaterutama;negative
malaysia amat kesal dan membantah tindakan amerika syarikat as menggunakan kuasa vetonya untuk menolak resolusi majlis keselamatan pertubuhan bangsabangsa bersatu pbb yang menggesa gencatan senjata segera dalam konflik antara israel dan palestin…;negative
perangi hamasberda dengan perangi palestinajadi jangan bodoh yang konflik hamas israelyg teriak palestina;negative
malaysia amat kesal dan membantah tindakan amerika syarikat menggunakan kuasa vetonya untuk menolak resolusi pbb yang menggesa gencatan senjata segera dalam konflik antara israel dan palestin;negative
mending banyak negara ancam saja keluar dari pbb kalau setiap konflik penting pbb nggak bisa ngapa ngapain dan israel nggak sehebat yang kita bayangkan tetap saja minta bantuan negara sekutunyatp hebat sih bisa kendalikan amerika;negative
konflik israelpalestin malaysia kesal dan bantah tindakan amerika syarikat gunakan kuasa veto untuk menolak resolusi majlis keselamatan pbb  yang menggesa gencatan senjata segera  pm;negative
bacalahbiar  tahu kalau konflik atau perang israel vs arab dan skrg jadi israel vs hammas itu selalu mereka yang mulai tapi tidak pernah menang wkwkwkwk;negative
konflik israelhamas lebih dari  anak tewas  via co;negative
angka korban kekejaman israel kali ini lebih dahsyat berbanding  tahun lalu yang menyaksikan lebih  orang terbunuh dan  juta daripada  juta penduduk gaza diusir tetapi tiada tempat untuk dituju  berikut perbandingan peristiwa nakba  dan konflik palestinisrael;negative
di tengah memanasnya konflik di timur tengah antara zionis  amp   iran sbagai negara islam yang digerami oleh as zionis amp  sekutu lagi membuat musuh tercengan dengan peluncuran satelit biokapsul buatan dalam negeri ke angkasa;negative
konflik israelhamas lebih dari  anak tewas di gaza  lewat co;negative
anakanak dan wanita yang terluka terlihat di sebuah rumah sakit di kota khan younis jalur gaza selatan pada jumat  konflik hamasisrael sejauh ini telah menyebabkan  warga palestina tewas dan lebih dari  lainnya mengalami lukaluka;negative
solusi berdamai  lupakan masa lalu lihat ke depan makmur lahir  perasaan bersamaitu jalan terbaik  konflik israelhamas lebih dari  anak tewas di gaza  via co;negative
konflik israelhamas lebih dari  anak tewas di gaza  via co;negative
id tidak usah peduliin mereka itu sipil atau hamassdh resiko mrk berada di area konflik dan israel juga  tahu itumakanya tidak langsung dihabisitpi ditangkap hidupbiar nanti sejauh mana mrk bisa membuktikan diri jika bukan milisi hamas sekalian biar pada langsing;negative
false enemy ini juga melahirkan kicauan ultra nasionalis seakanakan rohingya punya power untuk menjajah indonesia dan mereplika perbuatan israel  keributan tercipta terjadilah konflik horizontal baik sesama muslim maupun sesama masyarakat  who fix the riot ofc the false hero;negative
🇸🇦 arab saudi mengesampingkan intervensi militer arab dalam konflik palestinaisrael   negaranegara arab menganggap intervensi militer dalam konflik gaza bukanlah jawaban untuk membujuk israel agar mengakhiri operasi militernya kata faisal bin farhan;negative
kalau masalah konflik perang ini saya tidak akan komentar dulu ntar kita diskusi saja kalau santai by telepon kang one on one sepertinya teman di media sosial netizen kita belum siap menerima perbedaan pandangan jadi saya ngalah tidak akan mengetweet perang israelhamas dulu ya;positive
new   yang salah adalah bgs arab yang memulai konflik kemudian menjadi perang sampai kemudian mereka bosan karena kalah terus dan sangat merugikan ketika bgs arab sudah banyak mengakui kedaulatan israel barulah muncul kelompok radikal seperti hammas ini jadi tujuan hammas adalah caper;negative
turki tegaskan lagi solusi dua negara dalam konflik israelpalestina;positive
ada  masalah yang bikin tidur ku tidak memuaskan pertama adalah konflik israel dan palestina kedua adalah orang² rohingya berpotensi bisa menginvasi negara indonesia yaitu negara tempat ku tinggal  sebenernya bukan  doang sih;neutral
replace replace konflik israel palestina begitu juga kayaknya dikasih hati pengen menguasai  inget dulu negara yang nolak mereka dikatain macem ternyata mereka  visioner kayaknya  tahu kalau bakalan jadi masalah;negative
konflik israelpalestina kata tkn fanta tapi ingat kita harus tetap menjaga etika dan tidak melakukan halhal yang melanggar hukum ya;negative
konflik palestinaisrael ujar salah satu anggota tkn pemilih muda fanta bersamasama kita bisa menyebarkan informasi yang benar dan mendorong perubahan positif;negative
konflik palestinisrael zionis bogelkan  lelaki diarak di gaza;positive
isu gaza kaukus palestin parlimen serah nota bantahan kepada as  kami mendesak kerajaan as bertindak dengan tanggungjawab dan adil dalam menangani konflik berterusan antara israel dan palestin  syed ibrahim;negative
ri ini untuk permadi arya  martabatmu lebih rendah dari anjing israel kamu mau membawa konflik israel ke dalam negeri dengan melacur jadi buzzer israel;negative
ekonom ungkap dampak konflik israelpalestina ke indonesia oil war berimplikasi ke harga bbm;negative
percaya konflik itu akan selesai ingat konflik banglades itu sudah ada sejak dulu lebih lama daripada konflik palestina dan israel coba lihat palestina banglades afganistan yaman dan lainnya di area timur tengah sanakonflik itu sudah gaya hidup;positive
dan merupakan pencapaian yang tidak pernah dimiliki oleh gabungan tentara arab yang tidak tercapai dalam sejarah konflik mereka dengan israel dan ini akan mengubah aturan main di masa depan perjuangan saat ini adalah gambaran kuatnya sebuah pertahanan demi kemerdekaan;negative
cukup jadi manusia walaupun tak beragama mengerti akan adanya konflik disana   israel adalah bangsa yang diistimewakan sekaligus bangsa yang terlaknat bukan kami yang melaknat namun allah sang pencipta karena apa karena nabinabi yang diutus tuhan saja mereka bunuh;negative
alah kalau palestine pada mencak rohingya koo dipaksa ke ibdo no capek cari kerja bayar pajak nanti seperti israel bukan begitu atasi konflik dan unhcr dukung saya  malah ngak percayajangan  kamu buzzer ya kita ngak  tahu yang ngunsi itu semua muslim;negative
emang benerbener konflik yang tak berkesudahan rohingya amp  israel hasil warisan kolonialisme inggris ‍💨;negative
embang   memangnya konflil israel  palestina konflik agama ya kok bawa agama segala;negative
new  duanya dikasih jatah atas bantuan mengusir penjajah ottoman bgs arab dibuat trans jordan bgs israel dikasih wilayah lewat deklarasi balfour tapi tidak mengehentikan konflik keduanya karena arab yang egois merasa berhak sendiri wkwkwkwk;negative
bahas konflik israel palestine;negative
coba saja biarkan dan tampung mereka tapi ingat cerita palestina imigran datang dan diperlakukan dengan baik namun akhirnya menjajah nth sudah  berapa banyak korban smnjk konflik israelpalestina pertama kali;negative
raharjo kerjasama dengan israel seharusnya lebih fokus pada solidaritas palestina bukan  malah bikin konflik;positive
pallywood oleh indonistan berkedok amal untuk palestina mengambil keuntungan dari konflik israel palestina kang foto indonesia fotoin anak gaza sambil pegang makanan di atas reruntuhan sebuah bangunan  selesai itu eh dia ambil makanannya  hidung datar;negative
yang ingin saya luruskan adalah berita hoax yang menyebabkan orang orang jadi benci sekali dengan mereka padahal yang harusnya kita tekan adalah myanmar supaya bisa membereskan konflik internal dengan damai seperti kita nuntut israel supaya mengehentikan agresi di gaza;negative
tv tidak pernah ngaca konflik palestinaisrael biangkeroknya ya ulah mereka juga soksokan mau bantu entah siapa;negative
kemaskini  us meminta agar israel tidak membalas serangan houthi yaman dan meminta agar membiarkan pihaknya menyelesaikan perkara itu lapor the wall street journal   ini untuk mengelakkan perang israel palestin  menjadi lebih luas kepada konflik timur tengah;negative
kisah yael noy wanita israel yang membantu warga palestina di tengah konflik;negative
id marshel biang keroknya inggris yang membawa suku rohingya ke myanmar hingga terjadi konflik sosial tidak beda jauh dengan inggris yang membawa suku bani israel ke palestina;negative
upayakan solusi dua negara dengan yerusalem timur sebagai ibukota palestina dan yerusalem barat sebagai ibukota israel untuk mengakhiri konflik palestina dan israel dan solusi yang terbaik untuk palestinaisrael un   ri;positive
passionfr  lah kamu bilang kalau belajar ujungnya bisa jajah juga tidak sesimpel itu belum bicara status kewarganegaraan buat jajah itu  kemungkinan ya kecil di dunia setelah ww ini mana coba pengungsi dari negara konflik jadi penjajah mau disamain kaya kasus israel beda jauuuh;negative
reminder saat replace konflik palestina israel influencer tiktok adalah platform pertama yang dikontak israel buat  bikin propaganda dan dengan tema seragam akun akun menfes yang kerap bikin fitnah tanpa ada permohonan maaf apalagi koreksi bekerja dengan model yang sama;negative
aipac luncurkan kampanye “proyek ” yang bertujuan untuk mempengaruhi media di as soal konflik di gaza palestina;positive
poros perlawanan dapat memberikan dua pilihan kepada amerika dan israel menghentikan agresi atau memperluas konflik;negative
semoga makin sadar saja ya orang yang teriakteriak perang konvensional tidak bakal terjadi hanya mau kasih  tahu beberapa fakta saja pertama replace  konflik rusiaukraina sudah membesar jadi perang sampe sekarang kedua konflik israelhamas yang baru kemarin cont;negative
bingung dengan konflik israelpalestina ini panduan sejarah untuk memahaminya;positive
bukannya ini lagi di up sengaja sama pbb biar perhatian kita lari kesana dulu  padahal lagi ditengah konflik agresi israel di palestina supaya kita dibikin bingung fokusnya kemana padahal tinggal bagi  fokusnya;negative
konflik palestinisrael zionis bom masjid tertua gaza;negative
akhirnya supaya tidak terjadi konflik berlebihan britania raya membagi palestina menjadi arab state palestina dan jewish state israel  jerusalem sebagai kota internasional   akhirnya mereka saling tidak terima perang berkalikali dan palestina kalah;positive
konflik masuki bulan ketiga pertempuran hamas dan tentara israel di gaza makin sengit;negative
dalam perkembangan teknologi kecenderungan dehumanisasi semakin kuat terlihat angkaangka hanya dilihat sebagai angka bukan sebagai manusia yang mempunyai rasa sakit dari akibatakibat yang diperolehnya  ketua umum pbnu itu mencontohkan konflik israelpalestina yang…;negative
raharjo  wah si permadi pro israel tuh asik bicara konflik israel vs palestina;negative
