full_text;
Rasuk terlibat dalam pembuatan album kompilasi #CEASEFIRE yang ditujukan untuk menyerukan gencatan senjata menyeluruh sebagai jalan menuju perdamaian konflik di Palestina.  https://t.co/OwJX2l1Aec https://t.co/T7BQ3pSW7S;___rasuk
@danielqudsi Membincang konflik Palestina - Israel di Pon Pes Putri Kudus. https://t.co/gwzpRsbOWP;danielqudsi
Sistem veto di PBB is a joke gitu aja sampai kiamat resolusi  konflik mulai dari ukraina palestina selalu digagalkan ama pemegang hak veto;Rishinkaku
@kegblgnunfaedh Dunia sedang sibuk perang palestina israel..mujahid hafidz kembali kerahmatullah dengan mulia. Kok bisanya dia kondisi nyaman;
Sy bersimpati pd semua korban sipil krn konflik politik di seluruh belahan bumi. Sy sndri tdk peduli dg Palestina/Rohingya. Dlm arti hal sprti itu sdh di tgan dirjen keimigrasian. Negara pny aturan;
Kami mendukung upaya perdamaian yang menghormati hak rakyat Palestina dan mengakhiri konflik yang telah berlangsung terlalu lama PilihPKS Nomer8 . PARTAI KEADILAN SEJAHTERA   PilihPKSaja PartaiKitaSemua;agustinahanifaa
@tekarok007 Ini kalau eksekusi secara hukum di masa damai;
Konspirasi Pengungsi Rohingya : 1. UNHCR lembaga PBB;
Kami mendukung upaya perdamaian yang menghormati hak rakyat Palestina dan mengakhiri konflik yang telah berlangsung terlalu lama PilihPKS Nomer8 . PARTAI KEADILAN SEJAHTERA   PilihPKSaja PartaiKitaSemua;sheilanovii
PKS mendukung penyelesaian konflik Palestina-Israel yang adil dan berkelanjutan melalui dialog dan diplomasi PilihPKS Nomer8 . PARTAI KEADILAN SEJAHTERA   PilihPKSaja PartaiKitaSemua;maliadesty
Indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga Jalur Gaza yang terdampak konflik antara Israel dan Hamas Palestina. https://t.co/UtfvNu3aYv;antaranews
Indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga Jalur Gaza yang terdampak konflik antara Israel dan Hamas Palestina.https://t.co/xUqrPrZMdx;ANTARABengkulu
Setelah naiknya konflik Rusia-Ukraina kemudian Palestina-Israel kini giliran Rohingya. Konflik ini sebenernya udah lama 76th dan temasuk genosida cuma sampai sekarang belum ketemu jalan keluarnya;
Menteri Luar Negeri Retno Marsudi mengatakan Israel telah mengubah Gaza menjadi bagaikan neraka setelah jumlah korban tewas akibat konflik Israel dengan Hamas;
"in the year of our lord and savior 2023 masih aje nyebut ini konflik"" israel-palestina"";detritivour";
sedang mengalami konflik yang sulit. Saya sebagai buzzer untuk teman-teman saya;
Kepala Markas Palang Merah Indonesia (PMI) Pusat Arifin M. Hadi menerima donasi kemanusiaan dari Komunitas Motor Jakarta Selatan Peduli Gaza Palestina bagi masyarakat terdampak konflik di Gaza;
@AshHulls @tubirfess Yes;
Kepala Markas Palang Merah Indonesia (PMI) Pusat Arifin M. Hadi menerima donasi kemanusiaan dari Komunitas Motor Jakarta Selatan Peduli Gaza Palestina bagi masyarakat terdampak konflik di Gaza;
Seorang anak Palestina yang meninggalkan rumah mereka akibat serangan Israel;
ZARA Terancam Diboikot karena Iklannya Diduga Bertema Konflik Palestina https://t.co/KuIifPMVma;Bisniscom
@muslimelders_id Hanya bertanya;
@leekern13 Konflik itu semua diciptakan oleh mu wahai kaum zionis.. Kalianlah yang menciptakan kondisi perang seperti ini. Dunia akan  damai  tanpa kehadiran Zionisme. Palestina kacau karena kedatangan kalian kaum zionis. Dunia sudah tau semua keburukanmu.  *catat itu baik baik;yuyu54695
oh no anyway bagaimana cara menanggulangi konflik israel-palestina dalam perspektif sun tzu?;noerrakhmen
https://t.co/KwYn8nBOEI   Kementerian Luar Negeri (Kemenlu) berhasil mengevakuasi satu dari tiga Warga Negara Indonesia (WNI) bernama Farid Zanzabil Al Ayubi keluar dari Gaza;
@Lisaboyfriendd ini kasusnya emang mirip sama majalah times yg posting taylor swift sbg people of the year;
@MelodiAsyik @Uncle__Holland @Wisnuhid @yazid_fadhlan Konflik di Israel udah 75 tahunan yang lalu. Dan baru naik beberapa bulan ini. Sebelumnya orang awam hanya tahu sekedar Israel-Palestina damai maka akan kiamat.;MinminCha94972
Bnarkah disini ada 1 PARTAI yg justru bersorak meski dg penampakan wajah murung  pd  stiap trjadi konflik Palestina Israel  malah skr + Pngungsi Rohingya krn nyatanya bisa diolah sbg amunisi ntuk  mengintimidasi Pmerintah dan bahan kampanye  Pilpres. Partai  yg manakah itu ?;ExaExa314613
@WellyFraisa @mindlipstick @MichelAdam7__ @AddaRul49854 @CNN @ABC Iya memang pastinya ruwet konflik ini dan sudah dimulai sejak 1948 sudah 75 tahun;
"Halo ga mau menggurui, gw dari lulusan smk seni lukis, kuliah jurusan seni rupa dan sekarang jd seniman. Campaign Zara ini konsepnya photoshoot sculpture art studio"". Objek utamanya ""patung"". Menurutku ini cuma kebetulan aja pas momen konflik Palestina, jd visualnya sensitif."";goldinfernal";
semoga yg masih jadi pejuang Palestina julidnya ga melipir ke arah yg salah. Prihatin dengan kondisi konflik yg menimpa saudara muslim juga di negara lain. Sebelum nanti suatu saat bisa aja muslim Indonesia kena provokasi yg jahat dan jadi korban jg;worldtalk_
Hingga Hari Ini Lebih dari 17.973 Warga Palestina Meninggal Dunia Sejak Awal Konflik https://t.co/nTRMvNcMtX;medianekita
Opini dunia tak akan sama lagi dalam memandang konflik Palestina vs Israel. Banyak warga negara barat dan dunia mulai tersadar bahwa  militer zion15t brutal;
Konflik Palestina Israel;
@nayladaily Soal Nahr;
Akun ibu2 di Indonesia yg ngehype konflik di Palestina ini jadi agak melenceng ya captionnya. Kenapa jd thirst ke para pejuang kemerdekaannya. Malu aja aku bacanya. Gatel banget....!!!;hwallchii
terlepas dari pro kontra masalah pengungsi kalo analogiin pengungsi r word sama konflik di palestina rasanya cacat logika yh;daeyjoubu
@Smeagol62149272 @SoftWarNews Konflik palestina kali ini benar² membuka mata saya;
Biaya kemanusiaan konflik ini tinggi;
Jika ke imanan kita masih berbicara tentang batas negara;
Potret Warga Palestina Yang Telah Kehilangan Rumah;
weirdo concept that means nothing di tengah-tengah konflik palestina? like;
Standar Ganda Konflik Ukraine dan Palestina.  Ketika Rusia memulai “operasi militer khusus” di Ukraina pada bulan Februari tahun lalu;
@Tita83079013 @Menlu_RI @jokowi Hamas ingin menghilangkan israel;
"Seorang patriot, warga israel, berbicara tentang pendudukan brutal israel terhadap Palestina: Tidak ada konflik  Israel-Palestina, yang ada hanyalah pendudukan brutal Israel yang harus diakhiri."" ""Jika terlihat seperti apartheid, terdengar seperti apartheid, itulah apartheid""."";AbaHatufara";
@zha_benk2 Benar sekali.Bahkan orang-orang yang berada di Amerika dan Eropa sudah mulai sadar mereka selama ini termakan propaganda dan Islamopobhia.Dan justru tersadarkan oleh konflik Palestina;
"Hari ini seneng dah, tadi pas di gereja pendetanya khotbah soal umat Yahudi terus pendetanya nyinggung soal Palestina dan dengan lantang beliau bilang, Ini udah bukan soal konflik agama. Dan orang Yahudi emang terkenal sebagai bangsa yang congkak."""";soleilgele";
Tindakan amriki blawanan dr bullshitnya agar israhell mengurangi korban sipil. Semoga negara2 lain;
Doa kami agar perdamaian segera terwujud dan konflik yang berkelanjutan di palestina segera berakhir  Dukungan kami kepada rakyat Palestina;
@ahmedasarlan @mx00711 @helenr1903 @Hbadruzaman1910 @agama_nusantara @Tita83079013 @_christing_ @bnsphrxyzzz @frank21blue @silarakhito @Valhallaah @PaijoKhentir @NamoAryatara @Kappa_2023 @DedynurPalakka @DiposuroP @RyaWiedy Sy mengikuti perkembangan mazhab dan gerakan islam sejak 2009;
@Props_X Ada 2 lagi..  Harry sama Miw. Getol bgt nyuruh copot ikon Palestina karena ga pro Rohingya. Mereka nih jg penyebab konflik horizontal. Padahal Palestina dan Rohingya 2 masalah yg ga bersinambungan.;LovingSYAM1
@arman_dhani @Greschinov @UNHCRIndo Eh;
Bukan karena perang;
@johnhomebapa @syekh_wali @aesculapiusw @OliverArrowvers @katz_nadaHQ @zulfiarrahman @djnx_eo @Kappa_2023 @tepig_pignite @Boss40199095 @Hbadruzaman1910 @KiblatAkalSehat @PaijoKhentir Konflik ini bkn soal Israel / Palestina / perebutan tanah;
@perupadata Bahkan Inggris (yang jadi biang keroknya konflik Israel-Palestina) malah abstain;Gungkrisna12
@Happyblooms93 @Greschinov Betul;
Lagi lagi inggris biangkerok dari permasalahan dunia.mulai dari konflik palestina israil;
resolusi untuk menghentikan pertumpahan darah di Jalur Gaza. Ini menunjukkan ketidakadilan dan ketidakseimbangan dalam perlakuan terhadap konflik Israel-Palestina. Kita harus terus mendukung Palestina dalam perjuangannya untuk meraih;YAmelianda
@Muhammad_Saewad Tahu gak.... Dg selesainya konflik israel vs Palestina.. Maka akan segera datang kiamat kubro seperti yg tertulis di Al Qur 'an;dawam_idrus
Ulasan yang baik. Disini bisa dilihat begitu banyak kepentingan mengapa Palestina selalu konflik;sunny_daay
@Rifai_A27 @Tita83079013 @Menlu_RI @jokowi Iya bener Indoesia ga punya hub bilateral dengan Israel tapi ngapain Indonesia ngatur2 Israel masalah konflik ini seolah Indonesia segalanya bagi dua negara?  Kata Israel : lu siapa ngatur2?  Indonesia : Palestina saudara muslim kami Israel: Robingya bkan saudara? https://t.co/YIHeX9BFqs;johnlordds
Tahun ini;
Di Sebut Andil Di Konflik Israel-Palestina Siapa Rothschild Sumber : https://t.co/kVNgt64iem #konflik #konflikisraelpalestina #IsraelPalestineConflict #Palestine #IsraeliOccupation #keluarga #rothschild https://t.co/eYvtsw5MVc;EGosip8181
@SoftWarNews Tapi beneran deh. Aku merasa di konflik palestina buat kali ini bener² banyak membuka mata masyarakat dunia;
Ak habis diberi kuliah 7 menit soal konflik Palestina oleh prof Abid Harjunanto;junhuissimp
Di awal mengikuti gerakan ini saya pikir hanya gerakan seperti biasa;
Kalo mau dukung solidaritas kemanusiaan ya jangan cherry picking dong. Konflik Ukraine-Russia;
"Wuih wkwkwk bisa jadi judul penelitian Peran netizen Indonesia terkait penurunan ekskalasi konflik di Palestina"" wkwkwk"";ikhsanfirdauss";
Di tahun 2015 Israhell membakar bayi Palestina hidup-hidup. Konflik ini sudah dimulai jauh sebelum 7 Oktober  Astaghfirullah😭 #FreePalestine;bananantupisang
Disebut Andil di Konflik Israel-Palestina;
@LoudMinorities 7 oktober 2023? Konflik israhell vs Palestina dimulai JAUUUHH sebelum 7 oktober 2023. Cari tau dulu peristiwa nakba 1948!;mkpasaribu
'analis politik' yg bicara panjang lebar ttg risiko global;
Mengapa Israel Tak Suka Sekjen PBB Aktifkan Pasal 99 Piagam PBB Redam Konflik Israel-Palestina? https://t.co/pVOeRQp0fl #TempoDunia;tempodotco
Aku punya banyak alasan beli buku ini di tengah konflik genosida Palestina. https://t.co/LfXtMvYO4B;hibrizaaa
@Undefiend3 @strike_bravo_b emang percuma. UN saja tidak bisa meredakan ketidakpuasan penduduk Aceh atas kebandelan etnis Rohingya yang buat gara gara di tanah mereka. Boro boro mendamaikan dunia.   Pantesan konflik Gaza dan Palestina gak tamat tamat;
Bagaimana konflik Palestina dan Israel bisa terjadi? https://t.co/w9aG4znuEr;retizen_id
@Ardaffaf @logos_id Pastikan dulu informanmu gak bias mas. Contoh kita tanya konflik Israel-Palestina ke orang Israel;
@LoudMinorities @trikartikatika1 Yg perang israel vs palestina;
@Dj_Asphury @DrEvaChaniago Disinformasi. Konflik di palestina sudah lama menghasilkan pengungsi. Banyak yg masuk ke Yordania;
@Avolanza Perangi Hamas;
Di dunia ini punya lembaga utk menciptakan perdamaian dunia aja gak bisa berbuat apa2 karena adanya org2 yg berkepentingan utk perut mereka aja tanpa melihat akibat konflik yg terjadi jd kek percuma aja punya PBB tp gak bisa atasi konflik baik di palestina atau myanmar skalipun;deldheldel
Di tengah memanasnya konflik di Timur Tengah antara Zionis #Israel &amp  #Palestina;
pertanyaan yg bagus dari @t_yudehis dan dijawab oleh @nerdygeek_ soal apakah hak veto bisa dihapus  silahkan disimak agar paham soal hak veto dan PBB dalam konflik Palestina ini;speedingjunkie
Anak-anak dan wanita yang terluka terlihat di sebuah rumah sakit di Kota Khan Younis;
Ketebak bgt  org2 ini maunya apa si😂 Bela Palestina diguilttrip dengan “yaiyalah karna seiman” dibanding2in sama konflik Papua  nga belain Rohingnya juga salah “lho kan sama2 Islam?!!!” https://t.co/GxHjbFnt0B;shintaaraa_
@salsakyuuu @yha262626 @ChokeMeDaddy97 @laira_salsabila @kegblgnunfaedh Shahrir nangis kali kalo tau. Dulu bolak-balik negara lain buat cari dukungan sekarang disuruh gak peduli. Palestina juga diginiin kali di eropa. Ditolak-tolak in. Terus kita sama aja kek mereka?  . Masalahnya tu di pemerintah kita. Dongo gak bisa management konflik;sinkretisme_
Sejak awal pendirian Nahdlatul Ulama;
🇸🇦 Arab Saudi mengesampingkan intervensi militer Arab dalam konflik Palestina-Israel.   Negara-negara Arab menganggap intervensi militer dalam konflik Gaza bukanlah jawaban untuk membujuk Israel agar mengakhiri operasi militernya;
HIMAGRAFIKA  Palestina;
Bagaimana konflik Palestina dan Israel bisa terjadi?  https://t.co/w9aG4znuEr;retizen_id
Turki tegaskan lagi solusi dua negara dalam konflik Israel-Palestina https://t.co/4iNJVHIKw6;antaranews
Ada 2 masalah yang bikin tidur ku tidak memuaskan;
@txtdrimedia awal awal konflik israel palestina gitu juga kayaknya. dikasih hati pengen menguasai . inget dulu negara yang nolak mereka dikata2in macem. ternyata mereka  visioner kayaknya. tau kalau bakalan jadi masalah;joeymassa8
@Stopwastetime @herricahyadi Palestina ga ngungsi? Ini datanya dari mana? Jangan menyebar berita bohong. Bisa saja karena kebohonganmu ini menyebabkan konflik horizontal di tengah masyarakat.;KusumaJ40335609
@dr_koko28 Konflik Palestina - israhell teroris 2023 ini akan banyak merubah tatanan dunia kearah yg lebih baik. Dampaknya tidak bisa dipandang sepele;
@Gus_Raharjo Mungkin perlu ada klarifikasi lebih lanjut terkait pandangan Paslon 02 terhadap konflik di Palestina;andra_fzz
"konflik Israel-Palestina, kata TKN Fanta. ""Tapi ingat, kita harus tetap menjaga etika dan tidak melakukan hal-hal yang melanggar hukum ya!"";fauzanliandi1";
"konflik Palestina-Israel, ujar salah satu anggota TKN Pemilih Muda (Fanta). Bersama-sama kita bisa menyebarkan informasi yang benar dan mendorong perubahan positif."";jihnmhrni";
@Elmariachi2009 @sethrash666 Kalo gitu jangan ngehujat Mesir ya karena mereka nutup perbatasan dan ga mau nerima pengungsi Palestina pas konflik kemarin. Karena posisinya Mesir wkt itu sama kaya Indo skrg yg ga mau nerima pengungsi Rohingya. Wakakakak;Chimmy1990
Ekonom Ungkap Dampak Konflik Israel-Palestina ke Indonesia: Oil War Berimplikasi ke Harga BBM https://t.co/kXohwtu7up;KompasTV
@mizoneorange @savicali Percaya konflik itu akan selesai?;
Hal-hal yang bikin gue ga rispek ke Selena Gomez terjadi di tahun ini. Akarnya adalah dia menyatakan netral terhadap konflik Palestina dan Israhelltotnjing;
@daeng_embang @prabowo @Gerindra Memangnya konflil Israel - Palestina konflik agama ya? Kok bawa agama segala?;shandy_andre
Membaca utas ini kesimpulannya adalah: konflik Rohingya seperti juga konflik Palestina semuanya adalah salah Inggris.;jamalsa
@abulmuzaffar10 Cb saja biarkan dan tampung mereka;
Tapi emang butuh kesabaran lebih buat bisa ngebuat masyarakat aware;
Arifin M. Hadi Kepala Markas PMI Pusat menerima Donasi Kemanusiaan bagi masyarakat terdampak konflik Gaza Palestina total senilai 1;
@Gus_Raharjo Kerjasama dengan Israel? Seharusnya lebih fokus pada solidaritas Palestina;
terharu melihat betapa danone peduli terhadap warga palestina yang sedang menghadapi konflik kemanusiaan https://t.co/1P905dhfs0;Dearlyaccess
Arifin M. Hadi Kepala Markas PMI Pusat menerima Donasi Kemanusiaan bagi masyarakat terdampak konflik Gaza Palestina total senilai 1;
Pallywood oleh Indonistan. Berkedok amal untuk Palestina mengambil keuntungan dari konflik Israel Palestina. Kang foto Indonesia fotoin anak2 Gaza sambil pegang makanan di atas reruntuhan sebuah bangunan.  Selesai itu;
@Metro_TV Gak pernah ngaca. Konflik palestina-israel biangkeroknya ya ulah mereka jg;
@Bunga_JyKesuma @Narasi_winda Sentimen agama ... Otak sebagian masyarakat sudah terprovokasi dengan sangat dalam kalau konflik yg ada di Palestina adalah penindasan umat muslim dan bukan konflik antara 2 negara... Mereka di provokasi oleh orang2 yg ujungnya adalah donasi... Konon uang kapal selam tenggelam;Gunawan53722139
Kisah Yael Noy;
@appletomdr @neohistoria_id @m_marshel Biang keroknya Inggris yg membawa Suku Rohingya ke Myanmar hingga terjadi konflik sosial;
Upayakan Solusi Dua Negara dengan Yerusalem Timur sebagai Ibukota Palestina dan Yerusalem Barat sebagai Ibukota Israel untuk mengakhiri Konflik Palestina dan Israel dan solusi yang terbaik Untuk Palestina-Israel. @Palestine_UN @Israel @IsraeliPM @Menlu_RI  https://t.co/36InXGnLPg;Akbar_RaBa
Yuk kalau kalian mendukung palestina kalian juga bisa mendukung rohingya supaya bisa kembali ke myanmar dengan aman. Kita tekan pemerintah myanmar utk menyelesaikan konflik dalam negeri mereka dan menghentikan segala tindakan persekusi mereka ke warga rohingya.;transportpheno
reminder saat awal konflik Palestina israel;
@herricahyadi @_aishamaharani di IG kayak kompakan sampek hari ini 1 komentar sy...terus2an disanggah diumpat dsb... diorientasi jadinya... mana yg bener ato mana yg kurang bener... make sense klo ini cara penggembosan dukungan thd palestina;
@Stopwastetime @herricahyadi @m_marshel Ada darah mereka jg di tangan km;
AIPAC luncurkan kampanye “proyek 10/7” yang bertujuan untuk mempengaruhi media di AS soal konflik di Gaza;
Bingung dengan Konflik Israel-Palestina? Ini Panduan Sejarah untuk Memahaminya https://t.co/AC4lbJKl9R;SINDOnews
@Stopwastetime @MIBAgent_ @hnfdn @windblows____ @UNinIndonesia @AREAJULID @UNHCRIndo @IOMIndonesia @Kemlu_RI @pusinfopolhukam @ASEAN @ASEAN_UN @AJIIndonesia @OHCHRAsia @RefugeesMedia kalo PBB bisa nyetop konflik semudah itu;
"@TuaJalanJalan @SmudgeStan Cuma org goblok yg ngira kubu seberang"" itu membahas konflik di Palestina, bukan konflik narasi Rohingya 🤭🤭🤭"";bknshittpsyid";
@Mooncalfdung Bukannya ini lagi di up sengaja sama PBB biar perhatian kita lari kesana dulu?  Padahal lagi ditengah konflik agresi Israel di Palestina supaya kita dibikin bingung fokusnya kemana padahal tinggal bagi 2 fokusnya;Dane27110
Akhirnya supaya tidak terjadi konflik berlebihan;
Kepala Markas Palang Merah Indonesia (PMI) Arifin M. Hadi menerima donasi kemanusiaan dari Pondok Pesantren Attaqwa Putri Bekasi;
@bakpaodagingg @UNinIndonesia @AREAJULID @UNHCRIndo @IOMIndonesia @Kemlu_RI @pusinfopolhukam @ASEAN @ASEAN_UN @AJIIndonesia @OHCHRAsia @RefugeesMedia konflik Palestina itu juga urusan pemerintahan Palestina. kita gausah ikut campur. betul kan seperti itu?;Leonidas666_
Dalam perkembangan teknologi;
@Gus_Raharjo Waduh si permadi pro israel tuh asik bicara konflik Israel vs Palestina;Boyzneboyzone
Menurutnya;
Buset. Di masa-masa konflik Palestina makin memanas;
@lilaccountz Diksi mu yg buruk. Membawa Palestina hanya menambah konflik horizontal. Banyak misinformasi yg diterima masyarakat;
3 Rekomendasi Film Konflik Palestina Israel Dijamin Bikin Deg-Degan https://t.co/j5E4PNirOs;Penamasid
@tubirfess (Bag.11) dan sebagai pengungsi juga haruslah sadar dan mematuhi hukum negara tempat ia berpijak;
Buzzernya Belimbing Sayur ini menebar kebencian di atas konflik Israel dan Palestina untuk kepentingan Pilpres. Warga Indonesia harusnya konsisten dukung Palestina Merdeka sesuai UUD 1945. Tapi ini malah provokasi sebaliknya. @03__nakula @ch_chotimah2 @firzahusainInc #IsraeliLies https://t.co/MLOKANfpWa;info62id
@abdi_unay Buzzernya Belimbing Sayur ini menebar kebencian di atas konflik Israel dan Palestina untuk kepentingan Pilpres 2024. Warga Indonesia harusnya konsisten mendukung Palestina Merdeka sesuai UUD 1945. Tapi ini malah provokasi sebaliknya. https://t.co/sZ8OvFAsMB;info62id
@warasmilih @bandacatturas @herricahyadi @risyad_bay tolol;
@RandomWorldWar Karena kebetulan lagi ditengah histeria Israel-Palestina min;
@Valhallaah Banyal muncul akun2 israel pesek selama konflik palestina israel;de_ali2021
@jenn_aira07 @tubirfess Kalau Palestina;
"@FeriSuryaSugia1 Matius 26:52 : Barangsiapa menggunakan pedang, akan binasa oleh pedang""..  ""kekerasan akan menghasilkan kekerasan"". Hy ajaran yèsus yg dpt menyelesaikan konflik palestina. Matius 5:44  Tetapi Aku berkata kepadamu: Kasihilah musuhmu dan berdoalah bagi mereka yang menganiaya kamu."";PajohanaHtglg";
@PanjarPranow0w @txtdrimedia kmarin ngebela palestina mati2an sampe nasih rakyat sendiri jdi taruhan gara2 boikot;
@daeng_embang @prabowo @Gerindra Lah katanya konflik palestina bkn soal agama? 🤔 padahal banyak yg membela palestina krn mereka muslim DAN lawannya israel!;selenium1996
@xblba @neohistoria_id Malah disuruh ngungsi ke Palestina yang sama sama lagi konflik;
sehingga menimbulkan konflik saling serang yang berawal dari masalah perebutan tempat bermukim dan lapangan pekerjaan dengan penduduk Arab yang telah berabad-abad menetap di Palestina.;neohistoria_id
Konflik Israel-Palestina;
Kurangnya stok medis dan kebutuhan sehari-hari seakan menambah beban saudara kita yang sedang mempertahankan tanah airnya.  Sahabat yang dermawan;
MER-C: Masalah Palestina-Israel Bukan Konflik Agama;
dulu jaman soekarno;
Chatib Basri: Konflik Israel-Palestina Berpotensi Buat Risiko Ekonomi untuk Indonesia https://t.co/p92catCqw8;eradotid
Bisakah Israel berdamai dengan Palestina? Bisakah Palestina berdamai dengan Israel?  Israel pernah konflik dengan Mesir dan Yordania;
Solusi 2 negara adalah cara terbaik untuk menyelesaikan konflik Israel dan Palestina.   Israel sudah jelas siapa pemimpinnya. Namun siapakah pemimpin yang sesungguhnya negara Palestina saat ini? Siapakah pemimpin yang sesungguhnya yang akan berbicara atas nama warga Palestina?;PapiW1N
Mengukur Kekuatan Indonesia dan Korea Selatan dalam Konflik Israel-Palestina https://t.co/wvofl0tGLa;Bisniscom
Enak bgt kalo ngomong ya? Liat tuh konflik di gaza. Tetangga palestina pd tutup pintu biar gak dipenuhi pengungsi. Ketika beberapa negara tetangga palestina tdk mau membuka pintu utk menerima warga gaza mengungsi. Apakah itu artinya negara tersebut tdk puya rasa kemanusiaan?;AgusWestBorneo
@herricahyadi Jangan samain palestina dan rohingya. Anda kalau punya kuota baca deh sejarah dati masing2 itu. Konflik yg dialami masing2 sisi antara palestine dan rohingnya. Anda baca deh sejarah rohingnya ini ada. Baru deh keluarin statement yang bener. Baca dulu;
@akungemes @tanyarlfes Bener;
Dia mencontohkan negara-negara di luar yang saat ini masih mengalami konflik seperti Ukarina;
@kapitalisbarat @NowBila Karena ternyata hal ini ditunggangi politik scr sistematis. Diangkat dulu issue nya;
Dia mencontohkan negara-negara di luar yang saat ini masih mengalami konflik seperti Ukarina;
@dwinapriyanti Apalagi IG;
Sudah tidak percaya segala campaign ataupun diskursus tentang Human-rights dan demokrasi ala barat.  Konflik Israel-Palestina. Lalu merembet ke konflik suku di Sulawesi karena isu yg sama;
Setelah dua bulan konflik berkecamuk di Gaza dan Tepi Barat;
Khawatir Munculkan Konflik;
Khawatir Munculkan Konflik;
@AREAJULID ganggu lu UN;
@lelenaikkelas @lilaccountz Berbeda dgn palestina yg masi ada negara membantu utk menyelesaikan konflik mereka &amp  mereka ada miliisi utk berperang melawan. Sedangkan rohingya bener2 diabaikan oleh semua pihak. Sayangnya ngungsi pilihan terbaik mereka sampe berlarut2 lamanya;deldheldel
@udaytokay Bukannya memang begitu negara ini dan sebagian besar rakyatnya menolong karena melihat agamanya? Di Papua;
Bantuan kemanusiaan untuk rakyat Palestina pun disembunyikan oleh PBB?? Kelewatan🤬  &amp  sampai sekarang;
@herricahyadi gabisa ngebedain palestina sama Rohingya ni orang wkwk;
@lailadimyati 🤣🤣🤣🤣 gak pagi;
@cahdolanalam Perlu anda ingat;
@khilyaku soal humanity mbak;
@PartaiSocmed Sebaik apapun penduduk dan pengungsi ;
"Beneran serem bgt liat orang ngomong peduli Palestina"" sambil demonisasi kelompok korban konflik pembersihan etnik di negaranya, ngomong ky ""mereka ini kelakuannya jelek"" ""gatau diri"" ""udah kayak Israel"" beneran serem"";m2ridical";
Melonjaknya Korban Akibat Konflik Israel-Gaza: Lebih dari 17 Ribu Warga Palestina Tewas! https://t.co/vKqOMpKRND;Jurnalpatroli_
@SalsabilaAiri @DeadByChocolate @strike_bravo_b Jd;
Waktu awal konflik genosida Palestina ramai;
@lampu_patromaks Perlu diketahui konflik Israel itu tdk pernah sama Palestina tapi dgn Arab. Dua state yg dimaksud di bbrp resolusi PBB itu selalu Israel dgn Arab. Arab yg berkomposisi dari bbrp negara itu mau membentuk negara baru yaitu Palestina;
