text_clean,text_preprocessed,polarity_score,polarity
saya bersimpati pada semua korban sipil karena konflik politik di seluruh belahan bumi saya sndri tidak peduli dengan palestinarohingya dalam arti hal sprti itu sudah di tgan dirjen keimigrasian negara pny aturan,"['simpat', 'korban', 'sipil', 'konflik', 'politik', 'bahan', 'bumi', 'sndri', 'peduli', 'palestinarohingya', 'arti', 'sprti', 'tgan', 'dirjen', 'imigrasi', 'negara', 'pny', 'atur']",-8,negative
kami mendukung upaya perdamaian yang menghormati hak rakyat palestina dan mengakhiri konflik yang telah berlangsung terlalu lama pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuaagustinahanifaa,"['dukung', 'upaya', 'damai', 'hormat', 'hak', 'rakyat', 'palestina', 'konflik', 'pilihpks', 'nomer', 'partai', 'adil', 'sejahtera', 'pilihpksaja', 'partaikitasemuaagustinahanifaa']",2,positive
ini kalau eksekusi secara hukum di masa damai,"['eksekusi', 'hukum', 'damai']",-3,negative
konspirasi pengungsi rohingya   unhcr lembaga pbb,"['konspirasi', 'ungsi', 'rohingya', 'unhcr', 'lembaga', 'pbb']",-7,negative
kami mendukung upaya perdamaian yang menghormati hak rakyat palestina dan mengakhiri konflik yang telah berlangsung terlalu lama pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuasheilanovii,"['dukung', 'upaya', 'damai', 'hormat', 'hak', 'rakyat', 'palestina', 'konflik', 'pilihpks', 'nomer', 'partai', 'adil', 'sejahtera', 'pilihpksaja', 'partaikitasemuasheilanovii']",2,positive
pks mendukung penyelesaian konflik palestinaisrael yang adil dan berkelanjutan melalui dialog dan diplomasi pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuamaliadesty,"['pks', 'dukung', 'selesai', 'konflik', 'palestinaisrael', 'adil', 'lanjut', 'dialog', 'diplomasi', 'pilihpks', 'nomer', 'partai', 'adil', 'sejahtera', 'pilihpksaja', 'partaikitasemuamaliadesty']",-19,negative
indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga jalur gaza yang terdampak konflik antara israel dan hamas palestina,"['indonesia', 'cepat', 'bantu', 'manusia', 'warga', 'jalur', 'gaza', 'dampak', 'konflik', 'israel', 'hamas', 'palestina']",-11,negative
setelah naiknya konflik rusiaukraina kemudian palestinaisrael kini giliran rohingya konflik ini sebenernya sudah lama tahun dan temasuk genosida hanya sampai sekarang belum ketemu jalan keluarnya,"['naik', 'konflik', 'rusiaukraina', 'palestinaisrael', 'gilir', 'rohingya', 'konflik', 'sebenernya', 'temasuk', 'genosida', 'ketemu', 'jalan', 'keluar']",-2,negative
menteri luar negeri retno marsudi mengatakan israel telah mengubah gaza menjadi bagaikan neraka setelah jumlah korban tewas akibat konflik israel dengan hamas,"['menteri', 'negeri', 'retno', 'marsudi', 'israel', 'ubah', 'gaza', 'neraka', 'korban', 'tewas', 'akibat', 'konflik', 'israel', 'hamas']",-27,negative
in the year of our lord dan savior  masih aje nyebut ini konflik israelpalestinadetritivour,"['in', 'the', 'year', 'of', 'our', 'lord', 'savior', 'aje', 'nyebut', 'konflik', 'israelpalestinadetritivour']",-3,negative
sedang mengalami konflik yang sulit saya sebagai buzzer untuk temanteman saya,"['alami', 'konflik', 'sulit', 'buzzer', 'temanteman']",-3,negative
kepala markas palang merah indonesia pmi pusat arifin m hadi menerima donasi kemanusiaan dari komunitas motor jakarta selatan peduli gaza palestina bagi masyarakat terdampak konflik di gaza,"['kepala', 'markas', 'palang', 'merah', 'indonesia', 'pmi', 'pusat', 'arifin', 'm', 'had', 'terima', 'donasi', 'manusia', 'komunitas', 'motor', 'jakarta', 'selatan', 'peduli', 'gaza', 'palestina', 'masyarakat', 'dampak', 'konflik', 'gaza']",3,positive
yes,['yes'],3,positive
seorang anak palestina yang meninggalkan rumah mereka akibat serangan israel,"['anak', 'palestina', 'tinggal', 'rumah', 'akibat', 'serang', 'israel']",-10,negative
zara terancam diboikot karena iklannya diduga bertema konflik palestina,"['zara', 'ancam', 'boikot', 'iklan', 'duga', 'tema', 'konflik', 'palestina']",0,neutral
id hanya bertanya,['id'],0,neutral
konflik itu semua diciptakan oleh mu wahai kaum zionis kalianlah yang menciptakan kondisi perang seperti ini dunia akan  damai  tanpa kehadiran zionisme palestina kacau karena kedatangan kalian kaum zionis dunia sudah  tahu semua keburukanmu  catat itu baik baikyuyu,"['konflik', 'cipta', 'mu', 'kaum', 'zionis', 'kalian', 'cipta', 'kondisi', 'perang', 'dunia', 'damai', 'hadir', 'zionisme', 'palestina', 'kacau', 'datang', 'kaum', 'zionis', 'dunia', 'keburu', 'catat', 'baikyuyu']",-12,negative
oh no anyway bagaimana cara menanggulangi konflik israelpalestina dalam perspektif sun tzunoerrakhmen,"['oh', 'no', 'anyway', 'tanggulang', 'konflik', 'israelpalestina', 'perspektif', 'sun', 'tzunoerrakhmen']",-1,negative
kementerian luar negeri kemenlu berhasil mengevakuasi satu dari tiga warga negara indonesia wni bernama farid zanzabil al ayubi keluar dari gaza,"['menteri', 'negeri', 'kemenlu', 'hasil', 'evakuasi', 'warga', 'negara', 'indonesia', 'wni', 'nama', 'farid', 'zanzabil', 'al', 'ayubi', 'gaza']",3,positive
ini kasusnya emang mirip sama majalah times yang posting taylor swift sebagai people of the year,"['kasus', 'emang', 'majalah', 'times', 'posting', 'taylor', 'swift', 'people', 'of', 'the', 'year']",0,neutral
holland  fadhlan konflik di israel sudah  tahunan yang lalu dan baru naik beberapa bulan ini sebelumnya orang awam hanya tahu sekedar israelpalestina damai maka akan kiamatminmincha,"['holland', 'fadhlan', 'konflik', 'israel', 'tahun', 'orang', 'awam', 'dar', 'israelpalestina', 'damai', 'kiamatminmincha']",-5,negative
bnarkah disini ada  partai yang justru bersorak meski dengan penampakan wajah murung  pada  stiap trjadi konflik palestina israel   malah  sekarang  pngungsi rohingya karena nyatanya bisa diolah sebagai amunisi ntuk  mengintimidasi pmerintah dan bahan kampanye  pilpres partai  yang manakah itu exaexa,"['bnarkah', 'partai', 'sorak', 'tampak', 'wajah', 'murung', 'stiap', 'trjadi', 'konflik', 'palestina', 'israel', 'pngungsi', 'rohingya', 'olah', 'amunisi', 'ntuk', 'intimidasi', 'pmerintah', 'bahan', 'kampanye', 'pilpres', 'partai', 'mana', 'exaexa']",-15,negative
iya memang pastinya ruwet konflik ini dan sudah dimulai sejak  sudah  tahun,"['iya', 'pasti', 'ruwet', 'konflik']",-1,negative
halo tidak mau menggurui saya dari lulusan smk seni lukis kuliah jurusan seni rupa dan sekarang jadi seniman campaign zara ini konsepnya photoshoot sculpture art studio objek utamanya patung menurutku ini hanya kebetulan saja pas  saat konflik palestina jadi visualnya sensitifgoldinfernal,"['halo', 'guru', 'lulus', 'smk', 'seni', 'lukis', 'kuliah', 'jurus', 'seni', 'rupa', 'seniman', 'campaign', 'zara', 'konsep', 'photoshoot', 'sculpture', 'art', 'studio', 'objek', 'utama', 'patung', 'turut', 'pas', 'konflik', 'palestina', 'visual', 'sensitifgoldinfernal']",6,positive
semoga yang masih jadi pejuang palestina julidnya tidak melipir ke arah yang salah prihatin dengan kondisi konflik yang menimpa saudara muslim juga di negara lain sebelum nanti suatu saat bisa saja muslim indonesia kena provokasi yang jahat dan jadi korban jgworldtalk,"['moga', 'juang', 'palestina', 'julidnya', 'melipir', 'arah', 'salah', 'prihatin', 'kondisi', 'konflik', 'timpa', 'saudara', 'muslim', 'negara', 'muslim', 'indonesia', 'kena', 'provokasi', 'jahat', 'korban', 'jgworldtalk']",-15,negative
hingga hari ini lebih dari  warga palestina meninggal dunia sejak replace konflik,"['warga', 'palestina', 'tinggal', 'dunia', 'replace', 'konflik']",0,neutral
 pendapat dunia tak akan sama lagi dalam memandang konflik palestina vs israel banyak warga negara barat dan dunia mulai tersadar bahwa  militer ziont brutal,"['dapat', 'dunia', 'pandang', 'konflik', 'palestina', 'vs', 'israel', 'warga', 'negara', 'barat', 'dunia', 'sadar', 'militer', 'ziont', 'brutal']",-11,negative
konflik palestina israel,"['konflik', 'palestina', 'israel']",0,neutral
soal nahr,['nahr'],0,neutral
akun ibu di indonesia yang ngehype konflik di palestina ini jadi agak melenceng ya captionnya kenapa jadi thirst ke para pejuang kemerdekaannya malu saja saya bacanya gatel bangethwallchii,"['akun', 'indonesia', 'ngehype', 'konflik', 'palestina', 'lenceng', 'ya', 'captionnya', 'thirst', 'juang', 'merdeka', 'malu', 'baca', 'gatel', 'bangethwallchii']",-2,negative
terlepas dari pro kontra masalah pengungsi kalau analogiin pengungsi r word sama konflik di palestina rasanya cacat logika yhdaeyjoubu,"['lepas', 'pro', 'kontra', 'ungsi', 'analogiin', 'ungsi', 'r', 'word', 'konflik', 'palestina', 'cacat', 'logika', 'yhdaeyjoubu']",-2,negative
konflik palestina kali ini benar² membuka mata saya,"['konflik', 'palestina', 'kali', 'benar', 'buka', 'mata']",-4,negative
biaya kemanusiaan konflik ini tinggi,"['biaya', 'manusia', 'konflik']",3,positive
jika ke imanan kita masih berbicara tentang batas negara,"['iman', 'bicara', 'batas', 'negara']",-6,negative
potret warga palestina yang telah kehilangan rumah,"['potret', 'warga', 'palestina', 'hilang', 'rumah']",4,positive
weirdo concept that means nothing di tengahtengah konflik palestina like,"['weirdo', 'concept', 'that', 'means', 'nothing', 'tengahtengah', 'konflik', 'palestina', 'like']",5,positive
standar ganda konflik ukraine dan palestina  ketika rusia memulai “operasi militer khusus” di ukraina pada bulan februari tahun lalu,"['standar', 'ganda', 'konflik', 'ukraine', 'palestina', 'rusia', 'operasi', 'militer', 'khusus', 'ukraina', 'februari']",1,positive
ri  hamas ingin menghilangkan israel,"['ri', 'hamas', 'hilang', 'israel']",-9,negative
seorang patriot warga israel berbicara tentang pendudukan brutal israel terhadap palestina tidak ada konflik  israelpalestina yang ada hanyalah pendudukan brutal israel yang harus diakhiri jika terlihat seperti apartheid terdengar seperti apartheid itulah apartheidabahatufara,"['patriot', 'warga', 'israel', 'bicara', 'duduk', 'brutal', 'israel', 'palestina', 'konflik', 'israelpalestina', 'duduk', 'brutal', 'israel', 'apartheid', 'dengar', 'apartheid', 'apartheidabahatufara']",-18,negative
benk benar sekalibahkan orangorang yang berada di amerika dan eropa sudah mulai sadar mereka selama ini termakan propaganda dan islamopobhiadan justru tersadarkan oleh konflik palestina,"['benk', 'sekalibahkan', 'orangorang', 'amerika', 'eropa', 'sadar', 'makan', 'propaganda', 'islamopobhiadan', 'sadar', 'konflik', 'palestina']",2,positive
hari ini seneng dah tadi pas di gereja pendetanya khotbah soal umat yahudi terus pendetanya nyinggung soal palestina dan dengan lantang beliau bilang ini sudah bukan soal konflik agama dan orang yahudi emang terkenal sebagai bangsa yang congkaksoleilgele,"['neng', 'dah', 'pas', 'gereja', 'pendeta', 'khotbah', 'umat', 'yahudi', 'pendeta', 'nyinggung', 'palestina', 'lantang', 'beliau', 'bilang', 'konflik', 'agama', 'orang', 'yahudi', 'emang', 'kenal', 'bangsa', 'congkaksoleilgele']",2,positive
tindakan amriki blawanan dari bullshitnya agar israhell mengurangi korban sipil semoga negara lain,"['tindak', 'amriki', 'blawanan', 'bullshitnya', 'israhell', 'kurang', 'korban', 'sipil', 'moga', 'negara']",-6,negative
doa kami agar perdamaian segera terwujud dan konflik yang berkelanjutan di palestina segera berakhir  dukungan kami kepada rakyat palestina,"['doa', 'damai', 'wujud', 'konflik', 'lanjut', 'palestina', 'dukung', 'rakyat', 'palestina']",7,positive
nusantara  christing           saya mengikuti perkembangan mazhab dan gerakan islam sejak,"['nusantara', 'christing', 'ikut', 'kembang', 'mazhab', 'gera', 'islam']",4,positive
x ada  lagi  harry sama miw getol sangat nyuruh copot ikon palestina karena tidak pro rohingya mereka nih juga penyebab konflik horizontal padahal palestina dan rohingya  masalah yang tidak bersinambunganlovingsyam,"['x', 'harry', 'miw', 'getol', 'nyuruh', 'copot', 'ikon', 'palestina', 'pro', 'rohingya', 'nih', 'sebab', 'konflik', 'horizontal', 'palestina', 'rohingya', 'bersinambunganlovingsyam']",-1,negative
dhani   eh,"['dhani', 'eh']",0,neutral
bukan karena perang,['perang'],-3,negative
wali   nadahq  eo  pignite     konflik ini  bukan soal israel  palestina  perebutan tanah,"['wali', 'nadahq', 'eo', 'pignite', 'konflik', 'israel', 'palestina', 'rebut', 'tanah']",-3,negative
bahkan inggris yang jadi biang keroknya konflik israelpalestina  malah abstaingungkrisna,"['inggris', 'biang', 'kerok', 'konflik', 'israelpalestina', 'abstaingungkrisna']",-3,negative
betul,[],0,neutral
lagi lagi inggris biangkerok dari permasalahan duniamulai dari konflik palestina israil,"['inggris', 'biangkerok', 'masalah', 'duniamulai', 'konflik', 'palestina', 'israil']",1,positive
resolusi untuk menghentikan pertumpahan darah di jalur gaza ini menunjukkan ketidakadilan dan ketidakseimbangan dalam perlakuan terhadap konflik israelpalestina kita harus terus mendukung palestina dalam perjuangannya untuk meraihyamelianda,"['resolusi', 'henti', 'tumpah', 'darah', 'jalur', 'gaza', 'ketidakadilan', 'ketidakseimbangan', 'laku', 'konflik', 'israelpalestina', 'dukung', 'palestina', 'juang', 'meraihyamelianda']",0,neutral
saewad tahu tidak dengan selesainya konflik israel vs palestina maka akan segera datang kiamat kubro seperti yang tertulis di al qur andawamidrus,"['saewad', 'selesai', 'konflik', 'israel', 'vs', 'palestina', 'kiamat', 'kubro', 'tulis', 'al', 'qur', 'andawamidrus']",-7,negative
ulasan yang baik disini bisa dilihat begitu banyak kepentingan mengapa palestina selalu konfliksunnydaay,"['ulas', 'penting', 'palestina', 'konfliksunnydaay']",1,positive
a  ri  iya bener indoesia tidak punya hub bilateral dengan israel tapi ngapain indonesia ngatur israel masalah konflik ini seolah indonesia segalanya bagi dua negara  kata israel  kamu siapa ngatur  indonesia  palestina saudara muslim kami israel robingya bukan saudara,"['a', 'ri', 'iya', 'bener', 'indoesia', 'hub', 'bilateral', 'israel', 'ngapain', 'indonesia', 'ngatur', 'israel', 'konflik', 'indonesia', 'negara', 'israel', 'ngatur', 'indonesia', 'palestina', 'saudara', 'muslim', 'israel', 'robingya', 'saudara']",-13,negative
tahun ini,[],0,neutral
di sebut andil di konflik israelpalestina siapa rothschild sumber,"['andil', 'konflik', 'israelpalestina', 'rothschild', 'sumber']",4,positive
tapi beneran deh saya merasa di konflik palestina buat kali ini bener² banyak membuka mata masyarakat dunia,"['beneran', 'deh', 'konflik', 'palestina', 'kali', 'bener', 'buka', 'mata', 'masyarakat', 'dunia']",0,neutral
ak habis diberi kuliah  menit soal konflik palestina oleh prof abid harjunantojunhuissimp,"['ak', 'habis', 'kuliah', 'menit', 'konflik', 'palestina', 'prof', 'abid', 'harjunantojunhuissimp']",3,positive
di replace mengikuti gerakan ini saya pikir hanya gerakan seperti biasa,"['replace', 'ikut', 'gera', 'pikir', 'gera']",-5,negative
kalau mau dukung solidaritas kemanusiaan ya jangan cherry picking dong konflik ukrainerussia,"['dukung', 'solidaritas', 'manusia', 'ya', 'cherry', 'picking', 'konflik', 'ukrainerussia']",11,positive
wuih wkwkwk bisa jadi judul penelitian peran netizen indonesia terkait penurunan ekskalasi konflik di palestina wkwkwkikhsanfirdauss,"['wuih', 'wkwkwk', 'judul', 'teliti', 'peran', 'netizen', 'indonesia', 'kait', 'turun', 'ekskalasi', 'konflik', 'palestina', 'wkwkwkikhsanfirdauss']",8,positive
di tahun  israhell membakar bayi palestina hiduphidup konflik ini sudah dimulai jauh sebelum  oktober  astaghfirullah bananantupisang,"['israhell', 'bakar', 'bayi', 'palestina', 'hiduphidup', 'konflik', 'oktober', 'astaghfirullah', 'bananantupisang']",-4,negative
disebut andil di konflik israelpalestina,"['andil', 'konflik', 'israelpalestina']",4,positive
oktober  konflik israhell vs palestina dimulai jauuuhh sebelum  oktober  cari  tahu dulu peristiwa nakba mkpasaribu,"['oktober', 'konflik', 'israhell', 'vs', 'palestina', 'jauuuhh', 'oktober', 'cari', 'peristiwa', 'nakba', 'mkpasaribu']",0,neutral
analis politik yang bicara  terlalu panjang tentang risiko global,"['analis', 'politik', 'bicara', 'risiko', 'global']",-4,negative
mengapa israel tak suka sekjen pbb aktifkan pasal  piagam pbb redam konflik israelpalestina  tempodotco,"['israel', 'suka', 'sekjen', 'pbb', 'aktif', 'pasal', 'piagam', 'pbb', 'redam', 'konflik', 'israelpalestina', 'tempodotco']",-18,negative
saya punya banyak alasan beli buku ini di tengah konflik genosida palestina,"['alas', 'beli', 'buku', 'konflik', 'genosida', 'palestina']",2,positive
bravob emang percuma un saja tidak bisa meredakan ketidakpuasan penduduk aceh atas kebandelan etnis rohingya yang buat gara gara di tanah mereka boro boro mendamaikan dunia   pantesan konflik gaza dan palestina tidak  selesai  selesai,"['bravob', 'emang', 'un', 'reda', 'ketidakpuasan', 'duduk', 'aceh', 'bandel', 'etnis', 'rohingya', 'gara', 'gara', 'tanah', 'boro', 'boro', 'damai', 'dunia', 'pantesan', 'konflik', 'gaza', 'palestina', 'selesai', 'selesai']",-24,negative
bagaimana konflik palestina dan israel bisa terjadi,"['konflik', 'palestina', 'israel']",0,neutral
id pastikan dulu informanmu tidak bias mas contoh kita tanya konflik israelpalestina ke orang israel,"['id', 'pasti', 'informan', 'bias', 'mas', 'contoh', 'konflik', 'israelpalestina', 'orang', 'israel']",-4,negative
yang perang israel vs palestina,"['perang', 'israel', 'vs', 'palestina']",-3,negative
asphury  disinformasi konflik di palestina sudah lama menghasilkan pengungsi banyak yang masuk ke yordania,"['asphury', 'disinformasi', 'konflik', 'palestina', 'hasil', 'ungsi', 'masuk', 'yordania']",5,positive
perangi hamas,"['rang', 'hamas']",-3,negative
di dunia ini punya lembaga untuk menciptakan perdamaian dunia saja tidak bisa berbuat apa karena adanya orang yang berkepentingan untuk perut mereka saja tanpa melihat akibat konflik yang terjadi jadi kek percuma saja punya pbb tp tidak bisa atasi konflik baik di palestina atau myanmar skalipundeldheldel,"['dunia', 'lembaga', 'cipta', 'damai', 'dunia', 'buat', 'orang', 'penting', 'perut', 'akibat', 'konflik', 'kek', 'pbb', 'tp', 'atas', 'konflik', 'palestina', 'myanmar', 'skalipundeldheldel']",-9,negative
di tengah memanasnya konflik di timur tengah antara zionis  amp,"['panas', 'konflik', 'timur', 'zionis', 'amp']",-3,negative
pertanyaan yang bagus dari yudehis dan dijawab oleh  soal apakah hak veto bisa dihapus  silahkan disimak agar paham soal hak veto dan pbb dalam konflik palestina inispeedingjunkie,"['bagus', 'yudehis', 'hak', 'veto', 'hapus', 'silah', 'simak', 'paham', 'hak', 'veto', 'pbb', 'konflik', 'palestina', 'inispeedingjunkie']",-4,negative
anakanak dan wanita yang terluka terlihat di sebuah rumah sakit di kota khan younis,"['anakanak', 'wanita', 'luka', 'rumah', 'sakit', 'kota', 'khan', 'younis']",-7,negative
ketebak sangat  orang ini maunya apa si bela palestina diguilttrip dengan “yaiyalah karena seiman” dibandingin sama konflik papua  nga belain rohingnya juga salah “lho kan sama islam”,"['tebak', 'orang', 'mau', 'si', 'bela', 'palestina', 'diguilttrip', 'yaiyalah', 'iman', 'dibandingin', 'konflik', 'papua', 'nga', 'bain', 'rohingnya', 'salah', 'lho', 'islam']",-3,negative
salsabila  shahrir nangis kali kalau  tahu dulu bolakbalik negara lain buat cari dukungan sekarang disuruh tidak peduli palestina juga diginiin kali di eropa ditolaktolak in terus kita sama saja kek mereka   masalahnya tu di pemerintah kita dongo tidak bisa management konfliksinkretisme,"['salsabila', 'shahrir', 'nang', 'kali', 'bolakbalik', 'negara', 'cari', 'dukung', 'suruh', 'peduli', 'palestina', 'diginiin', 'kali', 'eropa', 'ditolaktolak', 'in', 'kek', 'tu', 'perintah', 'dongo', 'management', 'konfliksinkretisme']",-5,negative
sejak replace pendirian nahdlatul ulama,"['replace', 'diri', 'nahdlatul', 'ulama']",2,positive
🇸🇦 arab saudi mengesampingkan intervensi militer arab dalam konflik palestinaisrael   negaranegara arab menganggap intervensi militer dalam konflik gaza bukanlah jawaban untuk membujuk israel agar mengakhiri operasi militernya,"['arab', 'saudi', 'samping', 'intervensi', 'militer', 'arab', 'konflik', 'palestinaisrael', 'negaranegara', 'arab', 'anggap', 'intervensi', 'militer', 'konflik', 'gaza', 'bujuk', 'israel', 'operasi', 'militer']",-8,negative
himagrafika  palestina,"['himagrafika', 'palestina']",5,positive
turki tegaskan lagi solusi dua negara dalam konflik israelpalestina,"['turki', 'tegas', 'solusi', 'negara', 'konflik', 'israelpalestina']",3,positive
ada  masalah yang bikin tidur ku tidak memuaskan,"['bikin', 'tidur', 'ku', 'muas']",2,positive
replace replace konflik israel palestina begitu juga kayaknya dikasih hati pengen menguasai  inget dulu negara yang nolak mereka dikatain macem ternyata mereka  visioner kayaknya  tahu kalau bakalan jadi masalahjoeymassa,"['replace', 'replace', 'konflik', 'israel', 'palestina', 'kayak', 'kasih', 'hati', 'ken', 'kuasa', 'inget', 'negara', 'nolak', 'dikatain', 'macem', 'visioner', 'kayak', 'masalahjoeymassa']",-13,negative
palestina tidak ngungsi ini datanya dari mana jangan menyebar berita bohong bisa saja karena kebohonganmu ini menyebabkan konflik horizontal di tengah masyarakatkusumaj,"['palestina', 'ngungsi', 'data', 'sebar', 'berita', 'bohong', 'bohong', 'sebab', 'konflik', 'horizontal', 'masyarakatkusumaj']",-12,negative
koko konflik palestina  israhell teroris  ini akan banyak merubah tatanan dunia kearah yang lebih baik dampaknya tidak bisa dipandang sepele,"['koko', 'konflik', 'palestina', 'israhell', 'teroris', 'rubah', 'tatanan', 'dunia', 'arah', 'dampak', 'pandang', 'sepele']",-7,negative
raharjo mungkin perlu ada klarifikasi lebih lanjut terkait pandangan paslon  terhadap konflik di palestinaandrafzz,"['raharjo', 'klarifikasi', 'kait', 'pandang', 'paslon', 'konflik', 'palestinaandrafzz']",2,positive
konflik israelpalestina kata tkn fanta tapi ingat kita harus tetap menjaga etika dan tidak melakukan halhal yang melanggar hukum yafauzanliandi,"['konflik', 'israelpalestina', 'tkn', 'fanta', 'jaga', 'etika', 'halhal', 'langgar', 'hukum', 'yafauzanliandi']",-6,negative
konflik palestinaisrael ujar salah satu anggota tkn pemilih muda fanta bersamasama kita bisa menyebarkan informasi yang benar dan mendorong perubahan positifjihnmhrni,"['konflik', 'palestinaisrael', 'salah', 'anggota', 'tkn', 'pilih', 'muda', 'fanta', 'bersamasama', 'sebar', 'informasi', 'dorong', 'ubah', 'positifjihnmhrni']",-14,negative
