text_clean;text_preprocessed;polarity_score;polarity
jamur  hasilnya sama saja kan walau sudah diprotes jutaan orang didunia  malah us lanjut ngebiayain israel logikamu jalan tidak sih kalau buat gerakin pemdanya saja nggak bisa gimana mau ngeberhentiin konflik yang usianya sudah  tahun;['jamur', 'hasil', 'protes', 'juta', 'orang', 'dunia', 'us', 'ngebiayain', 'israel', 'logika', 'jalan', 'sih', 'gerakin', 'pemdanya', 'nggak', 'gimana', 'ngeberhentiin', 'konflik', 'usia'];-8;negative
abdullahs emang ini bukan video konflik palestina israel kok;['abdullahs', 'emang', 'video', 'konflik', 'palestina', 'israel'];0;neutral
dirjen who tedros adhanom ghebreyesus khawatir akan dampak konflik israel dan hamas terhadap kesehatan dia melaporkan tingginya penyakit diare dan infeksi saluran pernapasan di jalur gaza;['dirjen', 'who', 'tedros', 'adhanom', 'ghebreyesus', 'khawatir', 'dampak', 'konflik', 'israel', 'hamas', 'sehat', 'lapor', 'tinggi', 'sakit', 'diare', 'infeksi', 'salur', 'napas', 'jalur', 'gaza'];-27;negative
dia telah menjadi konflik antara dua sistem parti barat yang memonopoli kuasa kekuatan dan wang milik israel dan parti yang berjuang berjuang dan menentang yang barisan hadapannya adalah gaza dan perjuangan palestin;['konflik', 'sistem', 'parti', 'barat', 'monopoli', 'kuasa', 'kuat', 'wang', 'milik', 'israel', 'parti', 'juang', 'juang', 'tentang', 'baris', 'hadap', 'gaza', 'juang', 'palestin'];-16;negative
perang tak kunjung usai ini sejarah konflik palestinaisrael;['perang', 'kunjung', 'sejarah', 'konflik', 'palestinaisrael'];-6;negative
ngomong di x kalau tanpa argumen dan literasi yang cukup  malah jadi bahan rujakanwkwkwkberarti menurut elu misal konflik israel dan palestina saya harus lihat dari sudut pandang israel  alias penjajahhahaha;['ngomong', 'x', 'argumen', 'literasi', 'bahan', 'rujakanwkwkwkberarti', 'elu', 'konflik', 'israel', 'palestina', 'lihat', 'sudut', 'pandang', 'israel', 'alias', 'penjajahhahaha'];-10;negative
konflik palestinisrael majlis keselamatan pbb gagal – guterres;['konflik', 'palestinisrael', 'majlis', 'selamat', 'pbb', 'gagal', 'guterres'];1;positive
agong kesal terhadap tindakan amerika syarikat as menggunakan kuasa vetonya menolak resolusi majlis keselamatan pertubuhan bangsabangsa bersatu unsc yang menggesa gencatan senjata segera dalam konflik israelpalestin;['agong', 'kesal', 'tindak', 'amerika', 'syarikat', 'as', 'kuasa', 'veto', 'tolak', 'resolusi', 'majlis', 'selamat', 'tubuh', 'bangsabangsa', 'satu', 'unsc', 'gesa', 'gencat', 'senjata', 'konflik', 'israelpalestin'];-5;negative
dahlah un saja gagal buat ngambil keputusan untuk gencatan senjata di konflik israelpalestina atas dasar omong kosong veto us pemerintah indonesia masih mau koordinasi sama unhcr;['dah', 'un', 'gagal', 'ngambil', 'putus', 'gencat', 'senjata', 'konflik', 'israelpalestina', 'dasar', 'omong', 'kosong', 'veto', 'us', 'perintah', 'indonesia', 'koordinasi', 'unhcr'];-24;negative
anak maut dibedil israel ketika keluar cari roti;['anak', 'maut', 'bedil', 'israel', 'cari', 'roti'];-7;negative
kemusnahan terhadap warisan budaya purba ketika konflik hamasisrael sejak  oktober lalu pastinya ‘tidak dapat diganti’  genting gaza merupakan hab perdagangan dan budaya di bawah pemerintahan mesir yunani rom serta byzantine kekal berpengaruh selama berabadabad  berikut…;['musnah', 'waris', 'budaya', 'purba', 'konflik', 'hamasisrael', 'oktober', 'pasti', 'ganti', 'genting', 'gaza', 'hab', 'dagang', 'budaya', 'perintah', 'mesir', 'yunani', 'rom', 'byzantine', 'kekal', 'pengaruh', 'berabadabad', 'ikut'];-12;negative
id kurang begitu peduli soal konflik myanmar taunya hanya aung san suu kyi dan perang saudara rebutan kekuasaankudeta  selain video pengungsi rohingya belum pernah lihat dpdv rohingya sebagai korban genosida  seringnya lihat korban genosida israel di platform media social lain;['id', 'peduli', 'konflik', 'myanmar', 'tau', 'aung', 'san', 'suu', 'kyi', 'perang', 'saudara', 'rebut', 'kekuasaankudeta', 'video', 'ungsi', 'rohingya', 'lihat', 'dpdv', 'rohingya', 'korban', 'genosida', 'lihat', 'korban', 'genosida', 'israel', 'platform', 'media', 'social'];-18;negative
meskipun sulit untuk menentukan sikap boikot produk israel dan embargo minyak bisa menjadi upaya potensial untuk menghentikan konflik;['sulit', 'tentu', 'sikap', 'boikot', 'produk', 'israel', 'embargo', 'minyak', 'upaya', 'potensial', 'henti', 'konflik'];-11;negative
konflik antara palestina dan israel tak kunjung usai menurut muhammad faizal alfian dosen hubungan internasional di universitas diponegoro keberadaan palestina sangat penting bagi negaranegara arab;['konflik', 'palestina', 'israel', 'kunjung', 'muhammad', 'faizal', 'alfian', 'dosen', 'hubung', 'internasional', 'universitas', 'diponegoro', 'ada', 'palestina', 'negaranegara', 'arab'];-4;negative
cara rendimr menyikapi konflik palestinaisrael;['rendimr', 'sikap', 'konflik', 'palestinaisrael'];2;positive
artikel   dinamika solidaritas dan tantangan negaranegara arab di tengah eskalasi konflik palestina amp  israel;['artikel', 'dinamika', 'solidaritas', 'tantang', 'negaranegara', 'arab', 'eskalasi', 'konflik', 'palestina', 'amp', 'israel'];-5;negative
konflik palestinisrael as lulus jualan senjata segera kepada israel;['konflik', 'palestinisrael', 'as', 'lulus', 'jual', 'senjata', 'israel'];1;positive
membincang konflik palestina  israel di pon pes putri kudus;['bincang', 'konflik', 'palestina', 'israel', 'pon', 'pes', 'putri', 'kudus'];6;positive
kekhawatiran who terkait wabah penyakit di jalur gaza  dirjen who khawatir akan dampak konflik israel dan hamas terhadap kesehatan simak ulasan selengkapnya;['khawatir', 'who', 'kait', 'wabah', 'sakit', 'jalur', 'gaza', 'dirjen', 'who', 'khawatir', 'dampak', 'konflik', 'israel', 'hamas', 'sehat', 'simak', 'ulas', 'lengkap'];-40;negative
ri alasannya klasik karena indonesia tidak mengakui israel sebagai sebuah negarabukankah proses demokrasi suara terbanyak diambil mayoritas negara dunia mengakui israel kenapa indonesia tidak mau mengakuinya amp  memelihara konflikmemberi angin segar untuk teroris sprti hamas;['ri', 'alas', 'klasik', 'indonesia', 'aku', 'israel', 'negarabukankah', 'proses', 'demokrasi', 'suara', 'ambil', 'mayoritas', 'negara', 'dunia', 'aku', 'israel', 'indonesia', 'aku', 'amp', 'pelihara', 'konflikmemberi', 'angin', 'segar', 'teroris', 'sprti', 'hamas'];-10;negative
📌agong sokong pendirian kerajaan malaysia bantah kecam tindakan veto amerika syarikat tolak resolusi unsc bagi gencatan senjata rejim zionis dan palestin  📌agong seru rakyat berdoa ikut fahaman masingmasing agar konflik rejim zionis israelpalestin dapat dihentikan segera;['agong', 'sokong', 'diri', 'raja', 'malaysia', 'bantah', 'kecam', 'tindak', 'veto', 'amerika', 'syarikat', 'tolak', 'resolusi', 'unsc', 'gencat', 'senjata', 'rejim', 'zionis', 'palestin', 'agong', 'seru', 'rakyat', 'doa', 'fahaman', 'masingmasing', 'konflik', 'rejim', 'zionis', 'israelpalestin', 'henti'];-17;negative
dunia sedang sibuk perang palestina israelmujahid hafidz kembali kerahmatullah dengan mulia kok bisanya dia kondisi nyaman nahan konflik nafsu birahi saja tidak mampu laa haulaa saya laa quwwata illaa billah;['dunia', 'sibuk', 'perang', 'palestina', 'israelmujahid', 'hafidz', 'rahmatullah', 'mulia', 'bisa', 'kondisi', 'nyaman', 'nahan', 'konflik', 'nafsu', 'birah', 'laa', 'haulaa', 'laa', 'quwwata', 'illaa', 'billah'];-5;negative
ini kalau eksekusi secara hukum di masa damai ya lain cerita kalau eksekusi dalam perang seperti konflik israelpalestina ini tentu saja tanpa biaya main darderdor saja;['eksekusi', 'hukum', 'damai', 'ya', 'cerita', 'eksekusi', 'perang', 'konflik', 'israelpalestina', 'biaya', 'main', 'darderdor'];-8;negative
konspirasi pengungsi rohingya   unhcr lembaga pbb pbb iya memang milik semua negara didalamnya tapi kan yang nggeraki pbb negaranegara adikuasa  negara adikuasa geram karena indonesia netizen indonesia sangat mengganggu israel yang sedang konflik dengan palestina;['konspirasi', 'ungsi', 'rohingya', 'unhcr', 'lembaga', 'pbb', 'pbb', 'iya', 'milik', 'negara', 'dalam', 'nggeraki', 'pbb', 'negaranegara', 'adikuasa', 'negara', 'adikuasa', 'geram', 'indonesia', 'netizen', 'indonesia', 'ganggu', 'israel', 'konflik', 'palestina'];-7;negative
pks mendukung penyelesaian konflik palestinaisrael yang adil dan berkelanjutan melalui dialog dan diplomasi pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemua;['pks', 'dukung', 'selesai', 'konflik', 'palestinaisrael', 'adil', 'lanjut', 'dialog', 'diplomasi', 'pilihpks', 'nomer', 'partai', 'adil', 'sejahtera', 'pilihpksaja', 'partaikitasemua'];-19;negative
indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga jalur gaza yang terdampak konflik antara israel dan hamas palestina;['indonesia', 'cepat', 'bantu', 'manusia', 'warga', 'jalur', 'gaza', 'dampak', 'konflik', 'israel', 'hamas', 'palestina'];-11;negative
as desak israel tak serang warga sipil dan pers dalam konflik;['as', 'desak', 'israel', 'serang', 'warga', 'sipil', 'pers', 'konflik'];-13;negative
sekjen pbb sebut dewan keamanan pbb sudah rusak jadi tak bisa jalankan resolusi terkait konflik di gaza    terrorist;['sekjen', 'pbb', 'dewan', 'aman', 'pbb', 'rusak', 'jalan', 'resolusi', 'kait', 'konflik', 'gaza', 'terrorist'];-3;negative
setelah naiknya konflik rusiaukraina kemudian palestinaisrael kini giliran rohingya konflik ini sebenernya sudah lama tahun dan temasuk genosida hanya sampai sekarang belum ketemu jalan keluarnya apalagi saat ini pemerintah myanmar masih dikuasai militer;['naik', 'konflik', 'rusiaukraina', 'palestinaisrael', 'gilir', 'rohingya', 'konflik', 'sebenernya', 'temasuk', 'genosida', 'ketemu', 'jalan', 'keluar', 'perintah', 'myanmar', 'asai', 'militer'];-2;negative
menteri luar negeri retno marsudi mengatakan israel telah mengubah gaza menjadi bagaikan neraka setelah jumlah korban tewas akibat konflik israel dengan hamas terus bertambah;['menteri', 'negeri', 'retno', 'marsudi', 'israel', 'ubah', 'gaza', 'neraka', 'korban', 'tewas', 'akibat', 'konflik', 'israel', 'hamas', 'tambah'];-24;negative
saya tanya yaa berapa rumah sakit di israel yang dirudal terrorists hamas ini untuk mengukur dari media mana saja kamu membaca berita   oh iya kemaren ada gereja yang di boom di philipina tidak ada konflik tiba² kaummu boom gereja kamu tahu siapa pelakunya orang indonesia;['yaa', 'rumah', 'sakit', 'israel', 'rudal', 'terrorists', 'hamas', 'ukur', 'media', 'baca', 'berita', 'oh', 'iya', 'kemaren', 'gereja', 'boom', 'philipina', 'konflik', 'tiba', 'kaum', 'boom', 'gereja', 'laku', 'orang', 'indonesia'];-7;negative
winda yang model begini sebenere males nanggepi kalau urusan konflik dengan israel saya hanya hoby tentang alutsistaemang ril hamas hanya nenteng rpg  jadulpadahal rpg sudah ada tipe  dan  yang lebih mampuitupun penghancur tank sebenernya ya atgm dan hisbullah punya atgm berbagai jenis;['winda', 'model', 'sebenere', 'males', 'nanggepi', 'urus', 'konflik', 'israel', 'hoby', 'alutsistaemang', 'ril', 'hamas', 'nenteng', 'rpg', 'jadulpadahal', 'rpg', 'tipe', 'mampuitupun', 'hancur', 'tank', 'sebenernya', 'ya', 'atgm', 'hisbullah', 'atgm', 'jenis'];-3;negative
nah ini menarik seperti yang saya bilang yahudi itu main  kaki elitnya infiltrasi tapi rakyat biasa dikorbankan mirip kelakuan israel yang mendanai hamas waktu konflik fatah  hamas yang berakhir dengan rakyat sipil yahudi menjadi korban hamas;['tarik', 'bilang', 'yahudi', 'main', 'kaki', 'elitnya', 'infiltrasi', 'rakyat', 'korban', 'laku', 'israel', 'dana', 'hamas', 'konflik', 'fatah', 'hamas', 'rakyat', 'sipil', 'yahudi', 'korban', 'hamas'];-9;negative
saya sih hanya kalau konflik nya israel sama palestine ya jelas saya palestine;['sih', 'konflik', 'nya', 'israel', 'palestine', 'ya', 'palestine'];-1;negative
israel perkirakan konflik berlangsung hnya bbrpa minggu dan hamas mnyerahtrnyata sekarang sudah  bln lebih hamas msih ada prsediaan  tanks mnipiseropa mnolak jual tank lgi jmlah tntra luka tewas tidak dipublikasikan dan ekonomi israel hancur;['israel', 'kira', 'konflik', 'hnya', 'bbrpa', 'minggu', 'hamas', 'mnyerahtrnyata', 'bln', 'hamas', 'msih', 'prsediaan', 'tanks', 'mnipiseropa', 'mnolak', 'jual', 'tank', 'lgi', 'jmlah', 'tntra', 'luka', 'tewas', 'publikasi', 'ekonomi', 'israel', 'hancur'];-19;negative
in the year of our lord dan savior  masih aje nyebut ini konflik israelpalestina;['in', 'the', 'year', 'of', 'our', 'lord', 'savior', 'aje', 'nyebut', 'konflik', 'israelpalestina'];-3;negative
geneva kesan konflik israelpalestin ke atas sektor penjagaan kesihatan gaza menjadi malapetaka kata ketua pengarah pertubuhan kesihatan sedunia who tedros adhanom ghebreyesus semalam pada mesyuarat tergempar lembaga pengarah     sumber;['geneva', 'kesan', 'konflik', 'israelpalestin', 'sektor', 'jaga', 'kesihatan', 'gaza', 'malapetaka', 'ketua', 'arah', 'tubuh', 'kesihatan', 'dunia', 'who', 'tedros', 'adhanom', 'ghebreyesus', 'malam', 'mesyuarat', 'gempar', 'lembaga', 'arah', 'sumber'];-28;negative
jenggot seperti yang saya bilang   kamu menjudge orang seenaknya  tidak ada yang membela israel disini   tapi kamu dengan seenaknya menuduh orang  apa emang seperti itu sop nya golongannya kamu  berbeda berarti musuh  tidak heran negara muslim banyak yang konflik;['jenggot', 'bilang', 'menjudge', 'orang', 'bela', 'israel', 'tuduh', 'orang', 'emang', 'sop', 'nya', 'golong', 'beda', 'musuh', 'heran', 'negara', 'muslim', 'konflik'];-11;negative
kunjungan dia itu israel itu tidak ada hubungannya dengan konflik emg sudah terjadwal dari replace dia cuman basa basi ketemu setanhayu lagian elon juga ambigu dukung mana kliatan dari tweet tweetnya;['kunjung', 'israel', 'hubung', 'konflik', 'emg', 'jadwal', 'replace', 'cuman', 'basa', 'basi', 'ketemu', 'setanhayu', 'elon', 'ambigu', 'dukung', 'kliatan', 'tweet', 'tweetnya'];-15;negative
yes meskipun palestina tidak bisa disamakan dengan rohingya meskipun samasama pemeluk agama islam  palestina beneran korban genosida oleh israel  mean while rohingya lebih mirip cari suaka  memang harus  tahu bahwa  konflik tersebut beda sih myanmar itu bukan genosida;['yes', 'palestina', 'sama', 'rohingya', 'samasama', 'peluk', 'agama', 'islam', 'palestina', 'beneran', 'korban', 'genosida', 'israel', 'mean', 'while', 'rohingya', 'cari', 'suaka', 'konflik', 'beda', 'sih', 'myanmar', 'genosida'];3;positive
konflik palestinisrael askar zionis bakar bekalan bantuan gaza;['konflik', 'palestinisrael', 'askar', 'zionis', 'bakar', 'bekal', 'bantu', 'gaza'];-4;negative
sialnya si komika dia ngejokes di panggung politik yang mana di situ banyak tukang goreng di saat panasnya konflik israel falestin dan dia di indonesia;['sial', 'si', 'komika', 'ngejokes', 'panggung', 'politik', 'situ', 'tukang', 'goreng', 'panas', 'konflik', 'israel', 'falestin', 'indonesia'];-18;negative
seorang anak palestina yang meninggalkan rumah mereka akibat serangan israel berlindung di sebuah tenda di kamp pengungsi rafah jalur gaza selatan ​​di tengah konflik antara israel dan hamas reuters  simak fotofoto lainnya di;['anak', 'palestina', 'tinggal', 'rumah', 'akibat', 'serang', 'israel', 'lindung', 'tenda', 'kamp', 'ungsi', 'rafah', 'jalur', 'gaza', 'selatan', 'di', 'konflik', 'israel', 'hamas', 'reuters', 'simak', 'fotofoto'];-20;negative
israel miara anjing bernama hamas buat divide et impera x fatahnya arafat  si anjing gigit balik bikin kaget majikannya yang selama ini biasa kasih makan  konflik majikan vs anjing ini korban terbanyaknya  malah rakyat biasa;['israel', 'miara', 'anjing', 'nama', 'hamas', 'vide', 'et', 'impera', 'x', 'fatah', 'arafat', 'si', 'anjing', 'gigit', 'bikin', 'kaget', 'majikan', 'kasih', 'makan', 'konflik', 'majikan', 'vs', 'anjing', 'korban', 'banyak', 'rakyat'];-40;negative
konflik palestinisrael  juta penduduk dipaksa berhimpit di almawasi;['konflik', 'palestinisrael', 'juta', 'duduk', 'paksa', 'berhimpit', 'almawasi'];-2;negative
tidak viral kan yang fomo sama konflik timur tengah nyatanya hanya di israel doang bahas kemanusiaan tapi laranglarang kebebasan beribadah umat lain tenda kemanusiaan dari gereja dicabut stikernya anak tetangga kalian urus anak sendiri kalian tidak di urus  kemanusiaan bersyarat;['viral', 'fomo', 'konflik', 'timur', 'israel', 'doang', 'bahas', 'manusia', 'laranglarang', 'bebas', 'ibadah', 'umat', 'tenda', 'manusia', 'gereja', 'cabut', 'stiker', 'anak', 'tetangga', 'urus', 'anak', 'urus', 'manusia', 'syarat'];-3;negative
mengalami kesulitan akibat konflik dengan israel;['alami', 'sulit', 'akibat', 'konflik', 'israel'];-11;negative
id hanya bertanya kenapa muslim elders tidak terlalu riuh soal konflik palestinaisrael justru agendanya akhir² ini persoalan iklim tidak salah tapi bukankah perlu juga mengadakan pertemuan dengan para pemimpin agama membahas konflik tsb;['id', 'muslim', 'elders', 'riuh', 'konflik', 'palestinaisrael', 'agenda', 'akhir', 'iklim', 'salah', 'ada', 'temu', 'pimpin', 'agama', 'bahas', 'konflik', 'tsb'];-3;negative
sedang mengalami konflik dengan israel;['alami', 'konflik', 'israel'];-8;negative
mengalami penderitaan akibat konflik dengan israel;['alami', 'derita', 'akibat', 'konflik', 'israel'];-16;negative
sedang menghadapi konflik dengan israel;['hadap', 'konflik', 'israel'];-5;negative
sudah lama mengalami konflik dengan israel;['alami', 'konflik', 'israel'];-8;negative
harihari ngadepin pendukung israel yang kepala batu dan pendukung capres dan cawapres indonesia emang luar biasa sangat penutup  ini penuh dengan konflik;['harihari', 'ngadepin', 'dukung', 'israel', 'kepala', 'batu', 'dukung', 'capres', 'cawapres', 'indonesia', 'emang', 'tutup', 'penuh', 'konflik'];-3;negative
mengalami konflik dengan israel meskipun terdapat tekanan dari kampanye boikot produk israel phd tetap bertahan dengan menawarkan kualitas pizza yang lezat dan layanan pengantaran yang cepat bagi para pecinta pizza phd tetap menjadi pilihan yang;['alami', 'konflik', 'israel', 'tekan', 'kampanye', 'boikot', 'produk', 'israel', 'phd', 'tahan', 'tawar', 'kualitas', 'pizza', 'lezat', 'layan', 'antar', 'cepat', 'cinta', 'pizza', 'phd', 'pilih'];-15;negative
oh no anyway bagaimana cara menanggulangi konflik israelpalestina dalam perspektif sun tzu;['oh', 'no', 'anyway', 'tanggulang', 'konflik', 'israelpalestina', 'perspektif', 'sun', 'tzu'];-1;negative
kalau dari sedikit data yang saya dapatkan mostly kasus yang merugikan banyak orang eg  perang saudara suriah konflik yaman gaza vs israel dan konflik ukraina ini deretan kasus yang resolusinya tidak tercapai dikarenakan ada penolakan dari hak veto simpelnya ada keuntungan;['data', 'dapat', 'mostly', 'rugi', 'orang', 'eg', 'perang', 'saudara', 'suriah', 'konflik', 'yaman', 'gaza', 'vs', 'israel', 'konflik', 'ukraina', 'deret', 'resolusi', 'capai', 'tolak', 'hak', 'veto', 'simpel', 'untung'];-22;negative
koko    yaman ini meskipun miskin banyak konflik tapi lebih berwibawa ketimbang sultan² jazirah arab;['koko', 'yaman', 'miskin', 'konflik', 'wibawa', 'ketimbang', 'sultan', 'jazirah', 'arab'];-5;negative
kementerian luar negeri kemenlu berhasil mengevakuasi satu dari tiga warga negara indonesia wni bernama farid zanzabil al ayubi keluar dari gaza palestina sementara dua wni lainnya memilih tetap berada di area konflik perang hamasisrael tersebut;['menteri', 'negeri', 'kemenlu', 'hasil', 'evakuasi', 'warga', 'negara', 'indonesia', 'wni', 'nama', 'farid', 'zanzabil', 'al', 'ayubi', 'gaza', 'palestina', 'wni', 'pilih', 'area', 'konflik', 'perang', 'hamasisrael'];3;positive
holland  fadhlan konflik di israel sudah  tahunan yang lalu dan baru naik beberapa bulan ini sebelumnya orang awam hanya tahu sekedar israelpalestina damai maka akan kiamat;['holland', 'fadhlan', 'konflik', 'israel', 'tahun', 'orang', 'awam', 'dar', 'israelpalestina', 'damai', 'kiamat'];-8;negative
bnarkah disini ada  partai yang justru bersorak meski dengan penampakan wajah murung  pada  stiap trjadi konflik palestina israel   malah  sekarang  pngungsi rohingya karena nyatanya bisa diolah sebagai amunisi ntuk  mengintimidasi pmerintah dan bahan kampanye  pilpres partai  yang manakah itu;['bnarkah', 'partai', 'sorak', 'tampak', 'wajah', 'murung', 'stiap', 'trjadi', 'konflik', 'palestina', 'israel', 'pngungsi', 'rohingya', 'olah', 'amunisi', 'ntuk', 'intimidasi', 'pmerintah', 'bahan', 'kampanye', 'pilpres', 'partai', 'mana'];-15;negative
holland  fadhlan ada tidak kamu teriak free yemen  stand with yemen  saudi is oppressor   padahal saudi sudah menewaskan amp  menyiksa jutaan warga yaman tapi tidak ada muslim yang peduli  tapi begitu ada konflik yang menyangkut israel langsung muslim menjadi harimau yang bersemangat melawan israel;['holland', 'fadhlan', 'teriak', 'free', 'yen', 'stand', 'with', 'yen', 'saudi', 'is', 'oppressor', 'saudi', 'tewas', 'amp', 'siksa', 'juta', 'warga', 'yaman', 'muslim', 'peduli', 'konflik', 'israel', 'langsung', 'muslim', 'harimau', 'semangat', 'lawan', 'israel'];-14;negative
iya memang pastinya ruwet konflik ini dan sudah dimulai sejak  sudah  tahun apalagi ditambah ada perbedaan tingkat kesejahteraan antara israel dan palestina israel pendapatan per kapita penduduknya ustahun sementara palestina us tahun hanya  nya israel;['iya', 'pasti', 'ruwet', 'konflik', 'tambah', 'beda', 'tingkat', 'sejahtera', 'israel', 'palestina', 'israel', 'dapat', 'kapita', 'duduk', 'ustahun', 'palestina', 'us', 'nya', 'israel'];-6;negative
holland  fadhlan konflik ini bukan masalah tanah tapi masalah sentimen kebencian kepada israel yang ditanamkan oleh agama islam  jangan terus menunjuk israel bersalah sementara kesalahan di pihak islam tidak pernah diakui amp  diperbaiki;['holland', 'fadhlan', 'konflik', 'tanah', 'sentimen', 'benci', 'israel', 'tanam', 'agama', 'islam', 'israel', 'salah', 'salah', 'islam', 'aku', 'amp', 'baik'];-23;negative
 pendapat dunia tak akan sama lagi dalam memandang konflik palestina vs israel banyak warga negara barat dan dunia mulai tersadar bahwa  militer ziont brutal amoral dan tak sehebat seperti yang digemborkan media propaganda ziont juga terlihat amatir penuh rekayasa murahan;['dapat', 'dunia', 'pandang', 'konflik', 'palestina', 'vs', 'israel', 'warga', 'negara', 'barat', 'dunia', 'sadar', 'militer', 'ziont', 'brutal', 'amoral', 'hebat', 'gembor', 'media', 'propaganda', 'ziont', 'amatir', 'penuh', 'rekayasa', 'murah'];-16;negative
sekjen pbb gegara konflik israel citra dewan keamanan tercoreng;['sekjen', 'pbb', 'gegara', 'konflik', 'israel', 'citra', 'dewan', 'aman', 'coreng'];-9;negative
konflik palestina israel  ribu warga di   terancam kelaparan dan kehausan begitu;['konflik', 'palestina', 'israel', 'ribu', 'warga', 'ancam', 'lapar', 'haus'];-9;negative
biaya kemanusiaan konflik ini tinggi dengan korban jiwa palestina bertambah menteri luar negeri as anthony blinken menekankan perlunya israel melindungi warga sipil;['biaya', 'manusia', 'konflik', 'korban', 'jiwa', 'palestina', 'tambah', 'menteri', 'negeri', 'as', 'anthony', 'blinken', 'tekan', 'israel', 'lindung', 'warga', 'sipil'];3;positive
konflik palestinisrael  askar zionis cedera  mati;['konflik', 'palestinisrael', 'askar', 'zionis', 'cedera', 'mati'];-9;negative
konflik israelhamas di gaza yang memberi kesan terhadap kesihatan merupakan satu malapetaka  lebih  rakyat gaza syahid termasuk  kanakkanak dalam serangan rejim zionis;['konflik', 'israelhamas', 'gaza', 'kesan', 'kesihatan', 'malapetaka', 'rakyat', 'gaza', 'syahid', 'kanakkanak', 'serang', 'rejim', 'zionis'];-9;negative
konflik palestinisrael yemen sekat laluan kapal berkaitan israel;['konflik', 'palestinisrael', 'yen', 'sekat', 'lalu', 'kapal', 'kait', 'israel'];-4;negative
